,animal,session,cluster ID,learning phase,category
279,BS_41,BS_41_5_AC.pickle,15,post late,NCR
280,BS_41,BS_41_5_AC.pickle,67,post late,NCR
281,BS_41,BS_41_5_AC.pickle,68,post late,NCR
282,BS_41,BS_41_5_AC.pickle,73,post late,CR (suppressed)
283,BS_41,BS_41_5_AC.pickle,74,post late,CR (enhanced)
284,BS_41,BS_41_5_AC.pickle,85,post late,NCR
285,BS_41,BS_41_6_AC.pickle,1,post late,CR (enhanced)
286,BS_41,BS_41_6_AC.pickle,3,post late,CR (enhanced)
287,BS_41,BS_41_6_AC.pickle,6,post late,NCR
288,BS_41,BS_41_6_AC.pickle,7,post late,CR (enhanced)
289,BS_41,BS_41_6_AC.pickle,32,post late,NCR
290,BS_41,BS_41_7_AC.pickle,0,post late,NCR
291,BS_41,BS_41_7_AC.pickle,24,post late,CR (suppressed)
292,BS_41,BS_41_7_AC.pickle,36,post late,CR (enhanced)
293,BS_41,BS_41_7_AC.pickle,39,post late,NCR
294,BS_41,BS_41_7_AC.pickle,50,post late,NCR
295,BS_41,BS_41_7_AC.pickle,54,post late,NCR
296,BS_41,BS_41_7_AC.pickle,55,post late,NCR
297,BS_41,BS_41_7_AC.pickle,57,post late,NCR
298,BS_41,BS_41_7_AC.pickle,59,post late,CR (enhanced)
299,BS_41,BS_41_7_AC.pickle,62,post late,NCR
300,BS_41,BS_41_7_AC.pickle,63,post late,NCR
301,BS_41,BS_41_7_AC.pickle,64,post late,CR (enhanced)
302,BS_41,BS_41_7_AC.pickle,73,post late,NCR
303,BS_41,BS_41_7_AC.pickle,76,post late,NCR
304,BS_41,BS_41_7_AC.pickle,81,post late,NCR
305,BS_41,BS_41_7_AC.pickle,96,post late,NCR
306,BS_41,BS_41_8_AC.pickle,13,post late,NCR
307,BS_41,BS_41_8_AC.pickle,15,post late,NCR
308,BS_41,BS_41_8_AC.pickle,16,post late,NCR
309,BS_41,BS_41_8_AC.pickle,17,post late,NCR
310,BS_41,BS_41_8_AC.pickle,25,post late,NCR
311,BS_41,BS_41_8_AC.pickle,40,post late,NCR
312,BS_41,BS_41_8_AC.pickle,49,post late,NCR
313,BS_41,BS_41_8_AC.pickle,57,post late,NCR
314,BS_41,BS_41_8_AC.pickle,58,post late,NCR
315,BS_41,BS_41_8_AC.pickle,59,post late,CR (suppressed)
316,BS_41,BS_41_8_AC.pickle,60,post late,CR (enhanced)
317,BS_41,BS_41_8_AC.pickle,61,post late,CR (enhanced)
318,BS_41,BS_41_8_AC.pickle,66,post late,NCR
319,BS_41,BS_41_8_AC.pickle,67,post late,NCR
320,BS_41,BS_41_8_AC.pickle,69,post late,NCR
321,BS_41,BS_41_8_AC.pickle,72,post late,NCR
322,BS_41,BS_41_8_AC.pickle,77,post late,CR (enhanced)
323,BS_41,BS_41_8_AC.pickle,79,post late,CR (enhanced)
324,BS_41,BS_41_8_AC.pickle,82,post late,CR (suppressed)
325,BS_41,BS_41_8_AC.pickle,89,post late,CR (enhanced)
326,BS_41,BS_41_9_AC.pickle,3,post late,CR (enhanced)
327,BS_41,BS_41_9_AC.pickle,23,post late,NCR
328,BS_41,BS_41_9_AC.pickle,24,post late,NCR
329,BS_41,BS_41_9_AC.pickle,37,post late,CR (enhanced)
330,BS_41,BS_41_9_AC.pickle,70,post late,NCR
331,BS_41,BS_41_9_AC.pickle,75,post late,NCR
332,BS_41,BS_41_9_AC.pickle,78,post late,NCR
333,BS_41,BS_41_9_AC.pickle,80,post late,CR (enhanced)
334,BS_41,BS_41_9_AC.pickle,101,post late,NCR
335,BS_41,BS_41_9_AC.pickle,102,post late,NCR
336,BS_41,BS_41_9_AC.pickle,103,post late,NCR
337,BS_41,BS_41_9_AC.pickle,109,post late,CR (enhanced)
338,BS_41,BS_41_9_AC.pickle,125,post late,NCR
339,BS_42,BS_42_10_AC.pickle,3,post expert,NCR
340,BS_42,BS_42_10_AC.pickle,8,post expert,CR (enhanced)
341,BS_42,BS_42_10_AC.pickle,10,post expert,CR (enhanced)
342,BS_42,BS_42_10_AC.pickle,11,post expert,NCR
343,BS_42,BS_42_10_AC.pickle,17,post expert,NCR
344,BS_42,BS_42_10_AC.pickle,18,post expert,NCR
345,BS_42,BS_42_10_AC.pickle,20,post expert,NCR
346,BS_42,BS_42_10_AC.pickle,26,post expert,CR (enhanced)
347,BS_42,BS_42_11_AC.pickle,1,post expert,NCR
348,BS_42,BS_42_11_AC.pickle,44,post expert,CR (enhanced)
349,BS_42,BS_42_11_AC.pickle,48,post expert,NCR
350,BS_42,BS_42_2_AC.pickle,3,post early,CR (enhanced)
351,BS_42,BS_42_2_AC.pickle,5,post early,CR (enhanced)
352,BS_42,BS_42_2_AC.pickle,7,post early,NCR
353,BS_42,BS_42_2_AC.pickle,8,post early,CR (enhanced)
354,BS_42,BS_42_2_AC.pickle,9,post early,CR (suppressed)
355,BS_42,BS_42_2_AC.pickle,12,post early,CR (enhanced)
356,BS_42,BS_42_2_AC.pickle,14,post early,CR (enhanced)
357,BS_42,BS_42_2_AC.pickle,15,post early,NCR
358,BS_42,BS_42_2_AC.pickle,16,post early,CR (enhanced)
359,BS_42,BS_42_2_AC.pickle,17,post early,CR (enhanced)
360,BS_42,BS_42_2_AC.pickle,18,post early,NCR
361,BS_42,BS_42_2_AC.pickle,27,post early,CR (enhanced)
362,BS_42,BS_42_2_AC.pickle,41,post early,NCR
363,BS_42,BS_42_2_AC.pickle,48,post early,NCR
364,BS_42,BS_42_2_AC.pickle,54,post early,CR (enhanced)
365,BS_42,BS_42_2_AC.pickle,57,post early,CR (enhanced)
366,BS_42,BS_42_2_AC.pickle,61,post early,CR (enhanced)
367,BS_42,BS_42_2_AC.pickle,62,post early,CR (enhanced)
368,BS_42,BS_42_2_AC.pickle,64,post early,CR (enhanced)
369,BS_42,BS_42_2_AC.pickle,68,post early,CR (enhanced)
370,BS_42,BS_42_2_AC.pickle,69,post early,CR (enhanced)
371,BS_42,BS_42_2_AC.pickle,78,post early,NCR
372,BS_42,BS_42_2_AC.pickle,82,post early,CR (enhanced)
373,BS_42,BS_42_2_AC.pickle,84,post early,CR (enhanced)
374,BS_42,BS_42_2_AC.pickle,85,post early,CR (enhanced)
375,BS_42,BS_42_2_AC.pickle,86,post early,CR (enhanced)
376,BS_42,BS_42_2_AC.pickle,89,post early,NCR
377,BS_42,BS_42_2_AC.pickle,100,post early,NCR
378,BS_42,BS_42_2_AC.pickle,108,post early,CR (enhanced)
379,BS_42,BS_42_2_AC.pickle,112,post early,CR (enhanced)
380,BS_42,BS_42_2_AC.pickle,115,post early,NCR
381,BS_42,BS_42_2_AC.pickle,116,post early,NCR
382,BS_42,BS_42_2_AC.pickle,118,post early,CR (enhanced)
383,BS_42,BS_42_2_AC.pickle,119,post early,NCR
384,BS_42,BS_42_2_AC.pickle,121,post early,CR (enhanced)
385,BS_42,BS_42_2_AC.pickle,128,post early,NCR
386,BS_42,BS_42_2_AC.pickle,129,post early,NCR
387,BS_42,BS_42_2_AC.pickle,131,post early,NCR
388,BS_42,BS_42_2_AC.pickle,135,post early,NCR
389,BS_42,BS_42_3_AC.pickle,5,post early,NCR
390,BS_42,BS_42_3_AC.pickle,12,post early,CR (enhanced)
391,BS_42,BS_42_3_AC.pickle,19,post early,NCR
392,BS_42,BS_42_3_AC.pickle,26,post early,NCR
393,BS_42,BS_42_3_AC.pickle,27,post early,NCR
394,BS_42,BS_42_3_AC.pickle,47,post early,NCR
395,BS_42,BS_42_3_AC.pickle,48,post early,NCR
396,BS_42,BS_42_3_AC.pickle,49,post early,NCR
397,BS_42,BS_42_3_AC.pickle,51,post early,CR (suppressed)
398,BS_42,BS_42_3_AC.pickle,52,post early,NCR
399,BS_42,BS_42_3_AC.pickle,53,post early,CR (enhanced)
400,BS_42,BS_42_3_AC.pickle,55,post early,NCR
401,BS_42,BS_42_3_AC.pickle,56,post early,CR (enhanced)
402,BS_42,BS_42_3_AC.pickle,58,post early,NCR
403,BS_42,BS_42_3_AC.pickle,61,post early,CR (enhanced)
404,BS_42,BS_42_3_AC.pickle,62,post early,NCR
405,BS_42,BS_42_3_AC.pickle,63,post early,CR (enhanced)
406,BS_42,BS_42_3_AC.pickle,66,post early,CR (enhanced)
407,BS_42,BS_42_3_AC.pickle,71,post early,CR (enhanced)
408,BS_42,BS_42_3_AC.pickle,73,post early,CR (enhanced)
409,BS_42,BS_42_3_AC.pickle,80,post early,CR (enhanced)
410,BS_42,BS_42_3_AC.pickle,82,post early,NCR
411,BS_42,BS_42_3_AC.pickle,92,post early,CR (enhanced)
412,BS_42,BS_42_3_AC.pickle,96,post early,CR (enhanced)
413,BS_42,BS_42_3_AC.pickle,97,post early,NCR
414,BS_42,BS_42_3_AC.pickle,99,post early,NCR
415,BS_42,BS_42_3_AC.pickle,101,post early,NCR
416,BS_42,BS_42_3_AC.pickle,102,post early,NCR
417,BS_42,BS_42_3_AC.pickle,105,post early,CR (enhanced)
418,BS_42,BS_42_3_AC.pickle,107,post early,CR (enhanced)
419,BS_42,BS_42_4_AC.pickle,0,post early,NCR
420,BS_42,BS_42_4_AC.pickle,1,post early,NCR
421,BS_42,BS_42_4_AC.pickle,7,post early,NCR
422,BS_42,BS_42_4_AC.pickle,12,post early,NCR
423,BS_42,BS_42_4_AC.pickle,13,post early,NCR
424,BS_42,BS_42_4_AC.pickle,16,post early,CR (enhanced)
425,BS_42,BS_42_4_AC.pickle,18,post early,CR (enhanced)
426,BS_42,BS_42_4_AC.pickle,26,post early,CR (enhanced)
427,BS_42,BS_42_4_AC.pickle,29,post early,NCR
