,animal,session,cluster ID,Choice modulation,depth
199,BS_40,BS_40_3_AC.pickle,140,0.037878787878787866,0.2565
200,BS_40,BS_40_3_AC.pickle,145,0.1492537313432836,0.1565
201,BS_40,BS_40_3_AC.pickle,151,1.3470319634703196,0.1065
202,BS_40,BS_40_3_AC.pickle,155,3.302891933028919,0.3565
203,BS_40,BS_40_4_AC.pickle,0,1.9133333333333336,1.1555
204,BS_40,BS_40_4_AC.pickle,1,1.9599999999999997,1.168
205,BS_40,BS_40_4_AC.pickle,7,1.7200000000000004,1.193
206,BS_40,BS_40_4_AC.pickle,9,0.8800000000000001,1.118
207,BS_40,BS_40_4_AC.pickle,10,0.05333333333333326,1.1305
208,BS_40,BS_40_4_AC.pickle,15,0.9395973154362414,0.568
209,BS_40,BS_40_4_AC.pickle,18,0.642303433001107,0.468
210,BS_40,BS_40_4_AC.pickle,29,1.399999999999999,0.4055
211,BS_40,BS_40_5_AC.pickle,5,0.8333333333333336,1.195
212,BS_40,BS_40_5_AC.pickle,21,0.3968253968253968,0.8825
213,BS_40,BS_40_5_AC.pickle,22,0.23887079261672117,0.845
214,BS_40,BS_40_5_AC.pickle,27,0.8999280057595389,0.845
215,BS_40,BS_40_6_AC.pickle,4,0.39337474120082805,1.12
216,BS_40,BS_40_6_AC.pickle,7,1.769616026711185,1.045
217,BS_40,BS_40_6_AC.pickle,10,0.9126321647189758,1.0575
218,BS_40,BS_40_6_AC.pickle,11,1.7863105175292153,1.0075
219,BS_40,BS_40_6_AC.pickle,15,1.485809682804674,0.37
220,BS_40,BS_40_6_AC.pickle,21,0.9899328859060401,0.4325
221,BS_40,BS_40_6_AC.pickle,24,1.7473567056204784,0.37
222,BS_40,BS_40_6_AC.pickle,25,0.2819956616052061,0.4325
223,BS_40,BS_40_6_AC.pickle,26,1.5915414579855314,0.395
224,BS_40,BS_40_6_AC.pickle,27,1.6471897607122976,1.0075
225,BS_40,BS_40_7_AC.pickle,23,1.9222222222222225,0.7075
226,BS_40,BS_40_7_AC.pickle,33,0.6500000000000006,0.72
227,BS_40,BS_40_7_AC.pickle,36,1.7739628040057225,0.645
228,BS_40,BS_40_7_AC.pickle,85,0.7055555555555558,0.72
229,BS_40,BS_40_8_AC.pickle,6,4.2461122379986485,0.9125
230,BS_40,BS_40_8_AC.pickle,25,0.4690117252931322,0.95
231,BS_40,BS_40_8_AC.pickle,33,0.6355645706558486,0.8375
232,BS_40,BS_40_8_AC.pickle,34,0.473292765382015,0.8875
233,BS_40,BS_40_8_AC.pickle,40,0.7313317936874519,0.875
234,BS_40,BS_40_8_AC.pickle,44,0.9642560266001664,0.5875
235,BS_40,BS_40_8_AC.pickle,45,0.4494382022471911,0.5625
236,BS_40,BS_40_8_AC.pickle,48,0.14011799410029507,0.95
237,BS_41,BS_41_2_AC.pickle,10,0.5346985210466443,0.9055
238,BS_41,BS_41_2_AC.pickle,23,1.7626527050610818,0.518
239,BS_41,BS_41_2_AC.pickle,52,1.8062827225130886,0.318
240,BS_41,BS_41_2_AC.pickle,55,1.9021739130434783,0.543
241,BS_41,BS_41_2_AC.pickle,70,0.11343804537521822,0.918
242,BS_41,BS_41_2_AC.pickle,119,0.401396160558464,0.818
243,BS_41,BS_41_2_AC.pickle,155,0.40767386091127084,0.4805
244,BS_41,BS_41_2_AC.pickle,200,0.01529051987767582,0.418
245,BS_41,BS_41_2_AC.pickle,210,0.32286212914485174,0.4805
246,BS_41,BS_41_2_AC.pickle,236,1.9722222222222219,0.943
247,BS_41,BS_41_4_AC.pickle,0,0.14271151885830766,0.6325
248,BS_41,BS_41_4_AC.pickle,6,4.300254452926209,0.77
249,BS_41,BS_41_4_AC.pickle,8,1.6000000000000003,0.7825
250,BS_41,BS_41_4_AC.pickle,10,1.3070539419087135,0.745
251,BS_41,BS_41_4_AC.pickle,17,0.21628498727735382,0.845
252,BS_41,BS_41_4_AC.pickle,19,5.17175572519084,0.82
253,BS_41,BS_41_4_AC.pickle,20,2.4872773536895667,0.8575
254,BS_41,BS_41_4_AC.pickle,21,0.584329349269588,0.8575
255,BS_41,BS_41_4_AC.pickle,38,1.3867684478371498,0.42
256,BS_41,BS_41_4_AC.pickle,55,0.12086513994910911,0.5825
257,BS_41,BS_41_4_AC.pickle,57,6.310432569974554,0.6825
258,BS_41,BS_41_4_AC.pickle,64,2.709923664122137,0.7325
259,BS_41,BS_41_4_AC.pickle,66,0.06997455470737941,0.5325
260,BS_41,BS_41_4_AC.pickle,72,0.6870229007633593,0.4575
261,BS_41,BS_41_4_AC.pickle,73,1.914758269720101,0.4325
262,BS_41,BS_41_4_AC.pickle,77,0.3816793893129769,0.3825
263,BS_41,BS_41_4_AC.pickle,84,0.540712468193384,0.395
264,BS_41,BS_41_4_AC.pickle,87,0.022075055187638103,0.62
265,BS_41,BS_41_4_AC.pickle,95,0.9796437659033077,0.3825
266,BS_41,BS_41_4_AC.pickle,96,0.5279898218829515,0.4825
267,BS_41,BS_41_4_AC.pickle,97,0.4887820512820512,0.695
268,BS_41,BS_41_4_AC.pickle,100,0.16296296296296295,0.695
269,BS_41,BS_41_4_AC.pickle,101,3.51145038167939,0.895
270,BS_41,BS_41_4_AC.pickle,109,1.1195928753180666,0.7325
271,BS_41,BS_41_4_AC.pickle,110,2.767175572519084,0.8825
272,BS_41,BS_41_4_AC.pickle,114,0.5279898218829516,0.395
273,BS_41,BS_41_4_AC.pickle,115,0.5916030534351143,0.92
274,BS_41,BS_41_4_AC.pickle,117,5.5089058524173025,0.77
275,BS_41,BS_41_4_AC.pickle,119,0.36895674300254405,0.57
276,BS_41,BS_41_5_AC.pickle,2,3.0297029702970297,0.8745
277,BS_41,BS_41_5_AC.pickle,6,0.02739726027397269,0.887
278,BS_41,BS_41_5_AC.pickle,13,4.00611620795107,0.912
279,BS_41,BS_41_5_AC.pickle,15,2.0398009950248754,0.837
280,BS_41,BS_41_5_AC.pickle,67,0.2645502645502644,0.887
281,BS_41,BS_41_5_AC.pickle,68,0.2292263610315183,0.887
282,BS_41,BS_41_5_AC.pickle,73,4.44884488448845,0.837
283,BS_41,BS_41_5_AC.pickle,74,0.6581740976645427,0.862
