,animal,session,cluster,p value
203,BS_42,BS_42_2_AC.pickle,14,0.8482580190648273
204,BS_42,BS_42_2_AC.pickle,15,0.7351363394002879
205,BS_42,BS_42_2_AC.pickle,16,0.6439133603322788
206,BS_42,BS_42_2_AC.pickle,18,0.6899009954704908
207,BS_42,BS_42_2_AC.pickle,27,0.11834884799122518
208,BS_42,BS_42_2_AC.pickle,54,0.3628830825395417
209,BS_42,BS_42_2_AC.pickle,68,0.4306841841600132
210,BS_42,BS_42_2_AC.pickle,69,0.5568713395905989
211,BS_42,BS_42_2_AC.pickle,84,0.5704575548719829
212,BS_42,BS_42_2_AC.pickle,85,0.12349615417367799
213,BS_42,BS_42_2_AC.pickle,86,0.1533799137297633
214,BS_42,BS_42_2_AC.pickle,100,0.5365830835250823
215,BS_42,BS_42_2_AC.pickle,112,0.3094441073230982
216,BS_42,BS_42_2_AC.pickle,119,0.7163036078343016
217,BS_42,BS_42_2_AC.pickle,135,0.6778627621831377
218,BS_42,BS_42_3_AC.pickle,19,0.15369069638645375
219,BS_42,BS_42_3_AC.pickle,26,0.0036791787647312687
220,BS_42,BS_42_3_AC.pickle,47,0.10335476182283396
221,BS_42,BS_42_3_AC.pickle,49,0.8797427486813745
222,BS_42,BS_42_3_AC.pickle,51,0.0003700534371358313
223,BS_42,BS_42_3_AC.pickle,55,0.9680217283511331
224,BS_42,BS_42_3_AC.pickle,56,0.737324147409887
225,BS_42,BS_42_3_AC.pickle,58,3.100314930393008e-06
226,BS_42,BS_42_3_AC.pickle,61,0.12865201314733016
227,BS_42,BS_42_3_AC.pickle,63,0.1716966500035656
228,BS_42,BS_42_3_AC.pickle,66,0.015147624325547969
229,BS_42,BS_42_3_AC.pickle,71,0.08374217573532215
230,BS_42,BS_42_3_AC.pickle,73,0.6306012880720939
231,BS_42,BS_42_3_AC.pickle,80,0.03635939936597065
232,BS_42,BS_42_3_AC.pickle,92,0.79745501765225
233,BS_42,BS_42_3_AC.pickle,105,0.9022465672884467
234,BS_42,BS_42_3_AC.pickle,107,0.8402930270867681
235,BS_42,BS_42_4_AC.pickle,0,0.029362622369181832
236,BS_42,BS_42_4_AC.pickle,1,0.14134891334689528
237,BS_42,BS_42_4_AC.pickle,7,0.8662386606815538
238,BS_42,BS_42_4_AC.pickle,13,0.27254520872395993
239,BS_42,BS_42_4_AC.pickle,16,0.7420825771584061
240,BS_42,BS_42_4_AC.pickle,18,0.3865554126029498
241,BS_42,BS_42_4_AC.pickle,26,0.0007472163545311893
242,BS_42,BS_42_4_AC.pickle,29,0.1297324296778016
243,BS_42,BS_42_4_AC.pickle,36,0.22692325583001266
244,BS_42,BS_42_4_AC.pickle,38,0.8111880636648718
245,BS_42,BS_42_4_AC.pickle,40,0.2899526357727861
246,BS_42,BS_42_4_AC.pickle,41,0.001074638643457366
247,BS_42,BS_42_4_AC.pickle,42,0.10058506338675721
248,BS_42,BS_42_4_AC.pickle,45,0.003032729092184822
249,BS_42,BS_42_4_AC.pickle,46,0.5837969091480222
250,BS_42,BS_42_4_AC.pickle,48,0.00012716756083451237
251,BS_42,BS_42_4_AC.pickle,50,0.0025060749249699054
252,BS_42,BS_42_4_AC.pickle,51,0.6722560323391975
253,BS_42,BS_42_4_AC.pickle,52,0.2737266056890135
254,BS_42,BS_42_4_AC.pickle,58,0.05611701413998737
255,BS_42,BS_42_4_AC.pickle,61,0.0043065460319401646
256,BS_42,BS_42_4_AC.pickle,63,0.5659732426279969
257,BS_42,BS_42_4_AC.pickle,69,0.5907989029433688
258,BS_42,BS_42_5_AC.pickle,1,0.01642906846633726
259,BS_42,BS_42_5_AC.pickle,3,0.634476646560012
260,BS_42,BS_42_5_AC.pickle,5,0.27893653707720295
261,BS_42,BS_42_5_AC.pickle,20,0.8087148696232722
262,BS_42,BS_42_5_AC.pickle,24,0.36590562640571234
263,BS_42,BS_42_5_AC.pickle,33,0.024809765770502718
264,BS_42,BS_42_5_AC.pickle,38,0.07568369933519108
265,BS_42,BS_42_6_AC.pickle,0,0.48475334264876646
266,BS_42,BS_42_6_AC.pickle,7,0.9706909782997427
267,BS_42,BS_42_6_AC.pickle,8,0.2662472272851864
268,BS_42,BS_42_6_AC.pickle,9,0.7408016077306182
269,BS_42,BS_42_6_AC.pickle,18,0.4271140710912801
270,BS_42,BS_42_6_AC.pickle,21,0.07788603456013815
271,BS_42,BS_42_6_AC.pickle,22,0.0018501080916418463
272,BS_42,BS_42_6_AC.pickle,26,0.001656651092374888
273,BS_42,BS_42_6_AC.pickle,36,0.018509577738238036
274,BS_42,BS_42_6_AC.pickle,47,0.7585833722510332
275,BS_42,BS_42_6_AC.pickle,48,0.03974611340585094
276,BS_42,BS_42_6_AC.pickle,49,0.2425174138803541
277,BS_42,BS_42_6_AC.pickle,51,0.5066653611641652
278,BS_42,BS_42_6_AC.pickle,52,0.42065417388017057
279,BS_42,BS_42_6_AC.pickle,66,0.25330688741060536
280,BS_42,BS_42_6_AC.pickle,67,0.2633548758644068
281,BS_42,BS_42_6_AC.pickle,68,0.6534450725816794
282,BS_42,BS_42_6_AC.pickle,73,3.251864913442928e-06
283,BS_42,BS_42_6_AC.pickle,76,0.7220832600903102
284,BS_42,BS_42_6_AC.pickle,79,0.9577618638873211
285,BS_42,BS_42_6_AC.pickle,86,0.0068542345556361454
286,BS_42,BS_42_7_AC.pickle,23,0.756696896070576
287,BS_42,BS_42_7_AC.pickle,35,0.3940033703862068
288,BS_42,BS_42_7_AC.pickle,42,0.21124174804333254
289,BS_42,BS_42_7_AC.pickle,45,0.8366554079601948
290,BS_42,BS_42_7_AC.pickle,52,0.36165343566265007
291,BS_42,BS_42_7_AC.pickle,71,0.8161987312860548
292,BS_42,BS_42_7_AC.pickle,72,0.14960173957934172
293,BS_42,BS_42_7_AC.pickle,100,0.028354802596644624
294,BS_49,BS_49_12_AC.pickle,6,0.0022087298360718116
295,BS_49,BS_49_12_AC.pickle,10,9.603344032038651e-05
296,BS_49,BS_49_12_AC.pickle,13,0.057742772656839525
297,BS_49,BS_49_12_AC.pickle,22,0.32070842564405616
298,BS_49,BS_49_12_AC.pickle,39,0.10140885221202077
299,BS_49,BS_49_14_AC.pickle,16,0.029862519387514802
300,BS_49,BS_49_1_AC.pickle,4,0.36790062057047246
301,BS_49,BS_49_1_AC.pickle,6,0.09690437121925581
302,BS_49,BS_49_1_AC.pickle,10,0.17651985220888006
303,BS_49,BS_49_1_AC.pickle,11,0.11127229310356196
304,BS_49,BS_49_1_AC.pickle,15,0.12435218380110649
305,BS_49,BS_49_1_AC.pickle,23,0.6757868678395482
306,BS_49,BS_49_1_AC.pickle,24,0.9422408519461178
307,BS_49,BS_49_1_AC.pickle,29,0.75095991521073
308,BS_49,BS_49_1_AC.pickle,34,0.1230454657182041
309,BS_49,BS_49_1_AC.pickle,46,0.07378658513604303
310,BS_49,BS_49_1_AC.pickle,49,0.20791901113587632
311,BS_49,BS_49_1_AC.pickle,58,0.057587255520691084
312,BS_49,BS_49_1_AC.pickle,66,0.5299658639362919
313,BS_49,BS_49_1_AC.pickle,71,0.32521193310189567
314,BS_49,BS_49_1_AC.pickle,74,0.289952478883977
315,BS_49,BS_49_1_AC.pickle,80,0.5860736587996551
316,BS_49,BS_49_1_AC.pickle,81,0.6757868678395482
317,BS_49,BS_49_1_AC.pickle,82,0.7988174051621286
318,BS_49,BS_49_1_AC.pickle,94,0.7662505085869417
319,BS_49,BS_49_1_AC.pickle,96,0.16462745745571447
320,BS_49,BS_49_1_AC.pickle,108,0.3489167101908097
321,BS_49,BS_49_1_AC.pickle,111,0.3555603587765468
322,BS_49,BS_49_1_AC.pickle,112,0.20298782969983364
323,BS_49,BS_49_1_AC.pickle,113,0.10849859125173816
324,BS_49,BS_49_1_AC.pickle,118,0.4442236252890971
325,BS_49,BS_49_1_AC.pickle,124,0.31043802284262634
326,BS_49,BS_49_1_AC.pickle,129,0.5185148305429977
327,BS_49,BS_49_1_AC.pickle,133,0.4384439394548362
