,animal,session,cluster ID,phase,condition,FR modulation
310,BS_41,BS_41_7_AC.pickle,63,post late,behaving,1.6781609195402274
311,BS_41,BS_41_7_AC.pickle,64,post late,behaving,3.9080459770115
312,BS_41,BS_41_7_AC.pickle,73,post late,behaving,0.6226271829916474
313,BS_41,BS_41_7_AC.pickle,76,post late,behaving,0.39447731755424054
314,BS_41,BS_41_7_AC.pickle,81,post late,behaving,0.5865522174535049
315,BS_41,BS_41_7_AC.pickle,96,post late,behaving,0.9273182957393497
316,BS_41,BS_41_8_AC.pickle,13,post late,behaving,3.138173302107734
317,BS_41,BS_41_8_AC.pickle,15,post late,behaving,2.022653721682849
318,BS_41,BS_41_8_AC.pickle,16,post late,behaving,1.4266666666666656
319,BS_41,BS_41_8_AC.pickle,17,post late,behaving,1.6444444444444446
320,BS_41,BS_41_8_AC.pickle,25,post late,behaving,2.512280701754389
321,BS_41,BS_41_8_AC.pickle,40,post late,behaving,2.099999999999997
322,BS_41,BS_41_8_AC.pickle,49,post late,behaving,0.8936550491510256
323,BS_41,BS_41_8_AC.pickle,57,post late,behaving,2.8771929824561395
324,BS_41,BS_41_8_AC.pickle,58,post late,behaving,1.616161616161617
325,BS_41,BS_41_8_AC.pickle,59,post late,behaving,6.636225266362248
326,BS_41,BS_41_8_AC.pickle,60,post late,behaving,11.086142322097386
327,BS_41,BS_41_8_AC.pickle,61,post late,behaving,10.087719298245611
328,BS_41,BS_41_8_AC.pickle,66,post late,behaving,0.720000000000001
329,BS_41,BS_41_8_AC.pickle,67,post late,behaving,1.5677321156773214
330,BS_41,BS_41_8_AC.pickle,69,post late,behaving,0.9156626506024096
331,BS_41,BS_41_8_AC.pickle,72,post late,behaving,1.6720257234726674
332,BS_41,BS_41_8_AC.pickle,77,post late,behaving,7.253333333333332
333,BS_41,BS_41_8_AC.pickle,79,post late,behaving,24.862155388471184
334,BS_41,BS_41_8_AC.pickle,82,post late,behaving,4.712371946414507
335,BS_41,BS_41_8_AC.pickle,89,post late,behaving,9.160671462829736
336,BS_41,BS_41_9_AC.pickle,3,post late,behaving,9.467162329615856
337,BS_41,BS_41_9_AC.pickle,23,post late,behaving,1.3821138211382107
338,BS_41,BS_41_9_AC.pickle,24,post late,behaving,2.9457364341085293
339,BS_41,BS_41_9_AC.pickle,37,post late,behaving,20.890493381468115
340,BS_41,BS_41_9_AC.pickle,70,post late,behaving,1.3166666666666673
341,BS_41,BS_41_9_AC.pickle,75,post late,behaving,0.6666666666666643
342,BS_41,BS_41_9_AC.pickle,78,post late,behaving,0.6333333333333333
343,BS_41,BS_41_9_AC.pickle,80,post late,behaving,25.0333333333333
344,BS_41,BS_41_9_AC.pickle,101,post late,behaving,1.4555555555555566
345,BS_41,BS_41_9_AC.pickle,102,post late,behaving,0.9186840471756689
346,BS_41,BS_41_9_AC.pickle,103,post late,behaving,0.3941730934018849
347,BS_41,BS_41_9_AC.pickle,109,post late,behaving,3.5777777777777753
348,BS_41,BS_41_9_AC.pickle,125,post late,behaving,0.49319727891156456
349,BS_42,BS_42_10_AC.pickle,3,post expert,behaving,2.4736048265460027
350,BS_42,BS_42_10_AC.pickle,8,post expert,behaving,4.253393665158373
351,BS_42,BS_42_10_AC.pickle,10,post expert,behaving,4.645550527903469
352,BS_42,BS_42_10_AC.pickle,11,post expert,behaving,1.4781297134238316
353,BS_42,BS_42_10_AC.pickle,17,post expert,behaving,0.6938159879336351
354,BS_42,BS_42_10_AC.pickle,18,post expert,behaving,2.9141716566866256
355,BS_42,BS_42_10_AC.pickle,20,post expert,behaving,1.1418047882136282
356,BS_42,BS_42_10_AC.pickle,26,post expert,behaving,15.656108597285073
