,animal,session,cluster ID,learning phase,FR modulation,decoding performance,significant rel. synth. control
221,BS_40,BS_40_6_AC.pickle,24,pre late,7.490261547022819,0.521108615,True
222,BS_40,BS_40_6_AC.pickle,25,pre late,0.8242950108459874,0.519572411,True
223,BS_40,BS_40_6_AC.pickle,26,pre late,2.1146355036171425,0.542769814,True
224,BS_40,BS_40_6_AC.pickle,27,pre late,1.8809126321647172,0.586570341,True
225,BS_40,BS_40_7_AC.pickle,23,pre late,3.988888888888883,0.55297084,True
226,BS_40,BS_40_7_AC.pickle,33,pre late,7.566666666666662,0.488546876,True
227,BS_40,BS_40_7_AC.pickle,36,pre late,1.602288984263233,0.584722691,True
228,BS_40,BS_40_7_AC.pickle,85,pre late,2.9888888888888916,0.542252337,True
229,BS_40,BS_40_8_AC.pickle,6,pre late,1.6903313049357678,0.494407434,True
230,BS_40,BS_40_8_AC.pickle,25,pre late,0.6700167504187602,0.554366853,True
231,BS_40,BS_40_8_AC.pickle,33,pre late,0.7167004732927654,0.51425004,True
232,BS_40,BS_40_8_AC.pickle,34,pre late,0.5544286680189319,0.540297726,True
233,BS_40,BS_40_8_AC.pickle,40,pre late,0.8160123171670507,0.510503812,True
234,BS_40,BS_40_8_AC.pickle,44,pre late,0.9642560266001666,0.586969097,True
235,BS_40,BS_40_8_AC.pickle,45,pre late,1.01123595505618,0.504880625,True
236,BS_40,BS_40_8_AC.pickle,48,pre late,0.2802359882005899,0.539180973,True
237,BS_41,BS_41_2_AC.pickle,10,post early,1.456200227531286,0.455637379,True
238,BS_41,BS_41_2_AC.pickle,23,post early,1.5532286212914481,0.573167649,True
239,BS_41,BS_41_2_AC.pickle,52,post early,27.225130890052355,0.607901705,True
240,BS_41,BS_41_2_AC.pickle,55,post early,5.543478260869565,0.579571585,True
241,BS_41,BS_41_2_AC.pickle,70,post early,0.593368237347295,0.4813782,True
242,BS_41,BS_41_2_AC.pickle,119,post early,1.1343804537521804,0.496412461,False
243,BS_41,BS_41_2_AC.pickle,155,post early,2.494004796163069,0.604786187,True
244,BS_41,BS_41_2_AC.pickle,200,post early,5.657492354740061,0.556766066,True
245,BS_41,BS_41_2_AC.pickle,210,post early,0.9249563699825483,0.492679231,True
246,BS_41,BS_41_2_AC.pickle,236,post early,5.222222222222222,0.678737374,True
247,BS_41,BS_41_4_AC.pickle,0,post late,1.6921508664627924,0.45291602,True
248,BS_41,BS_41_4_AC.pickle,6,post late,6.8956743002544485,0.647717662,True
249,BS_41,BS_41_4_AC.pickle,8,post late,4.133333333333334,0.524630156,True
250,BS_41,BS_41_4_AC.pickle,10,post late,1.90871369294606,0.476106885,True
251,BS_41,BS_41_4_AC.pickle,17,post late,1.1323155216284988,0.504392624,True
252,BS_41,BS_41_4_AC.pickle,19,post late,14.96183206106869,0.707119114,True
253,BS_41,BS_41_4_AC.pickle,20,post late,3.1424936386768474,0.759823542,True
254,BS_41,BS_41_4_AC.pickle,21,post late,4.8074369189907005,0.512086528,False
255,BS_41,BS_41_4_AC.pickle,38,post late,1.1195928753180684,0.550106457,True
256,BS_41,BS_41_4_AC.pickle,55,post late,3.829516539440207,0.531901305,True
257,BS_41,BS_41_4_AC.pickle,57,post late,12.60814249363868,0.781080525,True
258,BS_41,BS_41_4_AC.pickle,64,post late,5.343511450381697,0.657729111,True
259,BS_41,BS_41_4_AC.pickle,66,post late,4.147582697201017,0.561240438,True
260,BS_41,BS_41_4_AC.pickle,72,post late,2.5572519083969483,0.555106828,True
261,BS_41,BS_41_4_AC.pickle,73,post late,5.979643765903314,0.536368132,True
262,BS_41,BS_41_4_AC.pickle,77,post late,1.4122137404580175,0.51377127,True
263,BS_41,BS_41_4_AC.pickle,84,post late,1.4376590330788803,0.560245592,True
264,BS_41,BS_41_4_AC.pickle,87,post late,1.8984547461368655,0.481373326,False
265,BS_41,BS_41_4_AC.pickle,95,post late,2.4300254452926198,0.686723299,True
266,BS_41,BS_41_4_AC.pickle,96,post late,3.2569974554707333,0.541280872,True
267,BS_41,BS_41_4_AC.pickle,97,post late,0.512820512820513,0.747385462,True
268,BS_41,BS_41_4_AC.pickle,100,post late,0.9629629629629626,0.618849652,True
