,animal,session,cluster ID,Choice modulation,category
186,BS_40,BS_40_3_AC.pickle,57,0.8295281582952817,CR (suppressed)
187,BS_40,BS_40_3_AC.pickle,61,1.0144927536231882,CR (enhanced)
188,BS_40,BS_40_3_AC.pickle,71,0.43378995433789946,Inconclusive
189,BS_40,BS_40_3_AC.pickle,76,0.5943152454780359,Inconclusive
190,BS_40,BS_40_3_AC.pickle,81,4.764079147640791,CR (enhanced)
191,BS_40,BS_40_3_AC.pickle,84,0.11415525114155275,Inconclusive
192,BS_40,BS_40_3_AC.pickle,105,0.6731813246471225,Inconclusive
193,BS_40,BS_40_3_AC.pickle,108,0.14459665144596656,NCR
194,BS_40,BS_40_3_AC.pickle,109,1.6129032258064515,CR (enhanced)
195,BS_40,BS_40_3_AC.pickle,111,1.3963963963963966,Inconclusive
196,BS_40,BS_40_3_AC.pickle,114,0.5269186712485684,Inconclusive
197,BS_40,BS_40_3_AC.pickle,115,1.3683127572016465,CR (suppressed)
198,BS_40,BS_40_3_AC.pickle,121,8.458842092382146e-18,Inconclusive
199,BS_40,BS_40_3_AC.pickle,140,0.037878787878787866,NCR
200,BS_40,BS_40_3_AC.pickle,145,0.1492537313432836,Inconclusive
201,BS_40,BS_40_3_AC.pickle,151,1.3470319634703196,CR (enhanced)
202,BS_40,BS_40_3_AC.pickle,155,3.302891933028919,CR (enhanced)
203,BS_40,BS_40_4_AC.pickle,0,1.9133333333333336,CR (suppressed)
204,BS_40,BS_40_4_AC.pickle,1,1.9599999999999997,CR (enhanced)
205,BS_40,BS_40_4_AC.pickle,7,1.7200000000000004,CR (suppressed)
206,BS_40,BS_40_4_AC.pickle,9,0.8800000000000001,Inconclusive
207,BS_40,BS_40_4_AC.pickle,10,0.05333333333333326,NCR
208,BS_40,BS_40_4_AC.pickle,15,0.9395973154362414,CR (enhanced)
209,BS_40,BS_40_4_AC.pickle,18,0.642303433001107,CR (enhanced)
210,BS_40,BS_40_4_AC.pickle,29,1.399999999999999,CR (enhanced)
211,BS_40,BS_40_5_AC.pickle,5,0.8333333333333336,CR (suppressed)
212,BS_40,BS_40_5_AC.pickle,21,0.3968253968253968,NCR
213,BS_40,BS_40_5_AC.pickle,22,0.23887079261672117,Inconclusive
214,BS_40,BS_40_5_AC.pickle,27,0.8999280057595389,Inconclusive
215,BS_40,BS_40_6_AC.pickle,4,0.39337474120082805,Inconclusive
216,BS_40,BS_40_6_AC.pickle,7,1.769616026711185,CR (enhanced)
217,BS_40,BS_40_6_AC.pickle,10,0.9126321647189758,Inconclusive
218,BS_40,BS_40_6_AC.pickle,11,1.7863105175292153,CR (enhanced)
219,BS_40,BS_40_6_AC.pickle,15,1.485809682804674,CR (enhanced)
220,BS_40,BS_40_6_AC.pickle,21,0.9899328859060401,Inconclusive
221,BS_40,BS_40_6_AC.pickle,24,1.7473567056204784,CR (enhanced)
222,BS_40,BS_40_6_AC.pickle,25,0.2819956616052061,NCR
223,BS_40,BS_40_6_AC.pickle,26,1.5915414579855314,CR (enhanced)
224,BS_40,BS_40_6_AC.pickle,27,1.6471897607122976,CR (enhanced)
225,BS_40,BS_40_7_AC.pickle,23,1.9222222222222225,CR (suppressed)
226,BS_40,BS_40_7_AC.pickle,33,0.6500000000000006,CR (suppressed)
227,BS_40,BS_40_7_AC.pickle,36,1.7739628040057225,CR (enhanced)
228,BS_40,BS_40_7_AC.pickle,85,0.7055555555555558,Inconclusive
229,BS_40,BS_40_8_AC.pickle,6,4.2461122379986485,CR (suppressed)
230,BS_40,BS_40_8_AC.pickle,25,0.4690117252931322,NCR
231,BS_40,BS_40_8_AC.pickle,33,0.6355645706558486,Inconclusive
232,BS_40,BS_40_8_AC.pickle,34,0.473292765382015,NCR
233,BS_40,BS_40_8_AC.pickle,40,0.7313317936874519,Inconclusive
234,BS_40,BS_40_8_AC.pickle,44,0.9642560266001664,CR (suppressed)
235,BS_40,BS_40_8_AC.pickle,45,0.4494382022471911,Inconclusive
236,BS_40,BS_40_8_AC.pickle,48,0.14011799410029507,NCR
237,BS_41,BS_41_2_AC.pickle,10,0.5346985210466443,Inconclusive
238,BS_41,BS_41_2_AC.pickle,23,1.7626527050610818,CR (enhanced)
239,BS_41,BS_41_2_AC.pickle,52,1.8062827225130886,CR (enhanced)
240,BS_41,BS_41_2_AC.pickle,55,1.9021739130434783,CR (enhanced)
241,BS_41,BS_41_2_AC.pickle,70,0.11343804537521822,NCR
242,BS_41,BS_41_2_AC.pickle,119,0.401396160558464,Inconclusive
243,BS_41,BS_41_2_AC.pickle,155,0.40767386091127084,Inconclusive
244,BS_41,BS_41_2_AC.pickle,200,0.01529051987767582,NCR
245,BS_41,BS_41_2_AC.pickle,210,0.32286212914485174,Inconclusive
246,BS_41,BS_41_2_AC.pickle,236,1.9722222222222219,Inconclusive
247,BS_41,BS_41_4_AC.pickle,0,0.14271151885830766,NCR
248,BS_41,BS_41_4_AC.pickle,6,4.300254452926209,CR (suppressed)
249,BS_41,BS_41_4_AC.pickle,8,1.6000000000000003,Inconclusive
250,BS_41,BS_41_4_AC.pickle,10,1.3070539419087135,Inconclusive
251,BS_41,BS_41_4_AC.pickle,17,0.21628498727735382,NCR
252,BS_41,BS_41_4_AC.pickle,19,5.17175572519084,CR (enhanced)
253,BS_41,BS_41_4_AC.pickle,20,2.4872773536895667,CR (enhanced)
254,BS_41,BS_41_4_AC.pickle,21,0.584329349269588,Inconclusive
255,BS_41,BS_41_4_AC.pickle,38,1.3867684478371498,Inconclusive
256,BS_41,BS_41_4_AC.pickle,55,0.12086513994910911,Inconclusive
257,BS_41,BS_41_4_AC.pickle,57,6.310432569974554,CR (enhanced)
258,BS_41,BS_41_4_AC.pickle,64,2.709923664122137,CR (enhanced)
259,BS_41,BS_41_4_AC.pickle,66,0.06997455470737941,Inconclusive
260,BS_41,BS_41_4_AC.pickle,72,0.6870229007633593,Inconclusive
261,BS_41,BS_41_4_AC.pickle,73,1.914758269720101,CR (enhanced)
262,BS_41,BS_41_4_AC.pickle,77,0.3816793893129769,NCR
263,BS_41,BS_41_4_AC.pickle,84,0.540712468193384,NCR
264,BS_41,BS_41_4_AC.pickle,87,0.022075055187638103,NCR
265,BS_41,BS_41_4_AC.pickle,95,0.9796437659033077,CR (enhanced)
266,BS_41,BS_41_4_AC.pickle,96,0.5279898218829515,Inconclusive
267,BS_41,BS_41_4_AC.pickle,97,0.4887820512820512,NCR
268,BS_41,BS_41_4_AC.pickle,100,0.16296296296296295,NCR
269,BS_41,BS_41_4_AC.pickle,101,3.51145038167939,CR (suppressed)
270,BS_41,BS_41_4_AC.pickle,109,1.1195928753180666,Inconclusive
271,BS_41,BS_41_4_AC.pickle,110,2.767175572519084,CR (enhanced)
272,BS_41,BS_41_4_AC.pickle,114,0.5279898218829516,NCR
273,BS_41,BS_41_4_AC.pickle,115,0.5916030534351143,Inconclusive
274,BS_41,BS_41_4_AC.pickle,117,5.5089058524173025,CR (enhanced)
275,BS_41,BS_41_4_AC.pickle,119,0.36895674300254405,Inconclusive
276,BS_41,BS_41_5_AC.pickle,2,3.0297029702970297,CR (suppressed)
277,BS_41,BS_41_5_AC.pickle,6,0.02739726027397269,NCR
278,BS_41,BS_41_5_AC.pickle,13,4.00611620795107,Inconclusive
279,BS_41,BS_41_5_AC.pickle,15,2.0398009950248754,CR (suppressed)
280,BS_41,BS_41_5_AC.pickle,67,0.2645502645502644,NCR
281,BS_41,BS_41_5_AC.pickle,68,0.2292263610315183,Inconclusive
282,BS_41,BS_41_5_AC.pickle,73,4.44884488448845,CR (suppressed)
283,BS_41,BS_41_5_AC.pickle,74,0.6581740976645427,Inconclusive
284,BS_41,BS_41_5_AC.pickle,85,0.2269503546099288,NCR
285,BS_41,BS_41_6_AC.pickle,1,0.5760626398210289,NCR
286,BS_41,BS_41_6_AC.pickle,3,0.23489932885906079,Inconclusive
287,BS_41,BS_41_6_AC.pickle,6,0.3010752688172043,NCR
