,animal,session,cluster,p value
158,BS_41,BS_41_4_AC.pickle,96,0.004598570066031285
159,BS_41,BS_41_4_AC.pickle,101,5.7946374777141406e-05
160,BS_41,BS_41_4_AC.pickle,109,0.14099800510351454
161,BS_41,BS_41_4_AC.pickle,114,0.19861222639575699
162,BS_41,BS_41_4_AC.pickle,115,0.8414869073447457
163,BS_41,BS_41_4_AC.pickle,117,0.18443312380535787
164,BS_41,BS_41_4_AC.pickle,119,0.5515588089792118
165,BS_41,BS_41_5_AC.pickle,2,0.010206103793644342
166,BS_41,BS_41_5_AC.pickle,6,0.6049359562396928
167,BS_41,BS_41_5_AC.pickle,67,0.5468623608915171
168,BS_41,BS_41_5_AC.pickle,68,0.03241323021300852
169,BS_41,BS_41_5_AC.pickle,73,0.7755697549865217
170,BS_41,BS_41_5_AC.pickle,85,0.01890617883883108
171,BS_41,BS_41_6_AC.pickle,1,0.9887105557620757
172,BS_41,BS_41_6_AC.pickle,3,0.023335660672432892
173,BS_41,BS_41_6_AC.pickle,7,0.4425053967628835
174,BS_41,BS_41_7_AC.pickle,0,0.651626079966628
175,BS_41,BS_41_7_AC.pickle,24,0.041624485521675775
176,BS_41,BS_41_7_AC.pickle,36,0.09589397808053006
177,BS_41,BS_41_7_AC.pickle,50,0.2809306711350762
178,BS_41,BS_41_7_AC.pickle,57,0.1964191602201878
179,BS_41,BS_41_7_AC.pickle,59,0.00029650421770049967
180,BS_41,BS_41_7_AC.pickle,62,0.007602283620119451
181,BS_41,BS_41_7_AC.pickle,63,0.18519267055020908
182,BS_41,BS_41_7_AC.pickle,64,0.28780208441364247
183,BS_41,BS_41_7_AC.pickle,73,0.1012250396220933
184,BS_41,BS_41_7_AC.pickle,81,0.24936028712459135
185,BS_41,BS_41_8_AC.pickle,17,0.4614921703202739
186,BS_41,BS_41_8_AC.pickle,59,0.43454575749029667
187,BS_41,BS_41_8_AC.pickle,67,0.7868357319464538
188,BS_41,BS_41_8_AC.pickle,77,0.8905160457176615
189,BS_41,BS_41_8_AC.pickle,79,0.6576973474538237
190,BS_41,BS_41_8_AC.pickle,82,0.8161245244490816
191,BS_41,BS_41_9_AC.pickle,3,0.6999679175843656
192,BS_41,BS_41_9_AC.pickle,24,0.5698365798139691
193,BS_41,BS_41_9_AC.pickle,37,0.6692390574227951
194,BS_41,BS_41_9_AC.pickle,75,0.027546111415618916
195,BS_41,BS_41_9_AC.pickle,80,0.1954028909263899
196,BS_41,BS_41_9_AC.pickle,101,0.6245225559788321
197,BS_41,BS_41_9_AC.pickle,102,0.6814647116704219
198,BS_41,BS_41_9_AC.pickle,103,0.8160612684607099
199,BS_42,BS_42_10_AC.pickle,3,0.20940107912834377
200,BS_42,BS_42_10_AC.pickle,8,0.44018058823019246
201,BS_42,BS_42_10_AC.pickle,11,0.5325609113617069
202,BS_42,BS_42_10_AC.pickle,26,0.15517825021077827
203,BS_42,BS_42_11_AC.pickle,44,0.4499393703880985
204,BS_42,BS_42_2_AC.pickle,3,0.7084040388474937
205,BS_42,BS_42_2_AC.pickle,5,0.012561922373572145
206,BS_42,BS_42_2_AC.pickle,15,0.629450620035253
207,BS_42,BS_42_2_AC.pickle,16,0.006820066001602964
208,BS_42,BS_42_2_AC.pickle,27,0.7825570288443492
209,BS_42,BS_42_2_AC.pickle,41,0.14233563707701335
210,BS_42,BS_42_2_AC.pickle,54,0.8221275476882317
211,BS_42,BS_42_2_AC.pickle,57,0.118403552487746
212,BS_42,BS_42_2_AC.pickle,68,0.4946544207388518
213,BS_42,BS_42_2_AC.pickle,69,0.7192111960757319
214,BS_42,BS_42_2_AC.pickle,78,0.0020701564897238497
215,BS_42,BS_42_2_AC.pickle,82,0.9001862414466604
216,BS_42,BS_42_2_AC.pickle,84,0.4534918989920943
217,BS_42,BS_42_2_AC.pickle,85,0.5077763200640979
218,BS_42,BS_42_2_AC.pickle,86,0.9248892482932006
219,BS_42,BS_42_2_AC.pickle,116,0.7029851141897303
220,BS_42,BS_42_3_AC.pickle,5,0.36540943744395127
221,BS_42,BS_42_3_AC.pickle,19,0.9237582091646774
222,BS_42,BS_42_3_AC.pickle,26,0.9543229954807342
223,BS_42,BS_42_3_AC.pickle,51,0.008139686450556554
224,BS_42,BS_42_3_AC.pickle,55,0.7384479504491692
225,BS_42,BS_42_3_AC.pickle,56,0.9211904250574289
226,BS_42,BS_42_3_AC.pickle,61,0.5940641929100672
227,BS_42,BS_42_3_AC.pickle,66,0.360764888761393
228,BS_42,BS_42_3_AC.pickle,107,0.6208428992200403
229,BS_42,BS_42_4_AC.pickle,0,0.0023656348872188684
230,BS_42,BS_42_4_AC.pickle,1,0.7836120218359628
231,BS_42,BS_42_4_AC.pickle,7,0.1720799282747504
232,BS_42,BS_42_4_AC.pickle,13,0.022893068137192697
233,BS_42,BS_42_4_AC.pickle,16,0.03223068987284755
234,BS_42,BS_42_4_AC.pickle,18,0.1751344308472149
235,BS_42,BS_42_4_AC.pickle,26,0.007798196171109549
236,BS_42,BS_42_4_AC.pickle,38,0.04760103335186881
237,BS_42,BS_42_4_AC.pickle,40,0.21085620730281487
238,BS_42,BS_42_4_AC.pickle,41,0.4463926273838541
239,BS_42,BS_42_4_AC.pickle,42,0.11626954919919988
240,BS_42,BS_42_4_AC.pickle,45,0.0009775640294335537
241,BS_42,BS_42_4_AC.pickle,46,0.5774875455801547
242,BS_42,BS_42_4_AC.pickle,47,0.7204959069473594
243,BS_42,BS_42_4_AC.pickle,48,0.12450489858222376
244,BS_42,BS_42_4_AC.pickle,50,0.004488893948605401
245,BS_42,BS_42_4_AC.pickle,51,0.11381331888123163
246,BS_42,BS_42_4_AC.pickle,52,0.2617829213732728
247,BS_42,BS_42_4_AC.pickle,58,0.7799834422826896
248,BS_42,BS_42_4_AC.pickle,61,0.3273350805726082
249,BS_42,BS_42_4_AC.pickle,62,0.060039764933317676
250,BS_42,BS_42_4_AC.pickle,65,0.5565736263787533
251,BS_42,BS_42_4_AC.pickle,68,0.3981746199731322
252,BS_42,BS_42_4_AC.pickle,69,0.6169275340321776
253,BS_42,BS_42_5_AC.pickle,1,0.5404035385498371
254,BS_42,BS_42_5_AC.pickle,11,0.3481256167929869
255,BS_42,BS_42_5_AC.pickle,13,0.0004840346206548359
256,BS_42,BS_42_5_AC.pickle,23,0.3705261895524131
257,BS_42,BS_42_5_AC.pickle,24,0.006625292382775733
258,BS_42,BS_42_6_AC.pickle,0,0.7280356151007115
259,BS_42,BS_42_6_AC.pickle,8,0.021158135159371882
260,BS_42,BS_42_6_AC.pickle,22,3.884487734085968e-07
261,BS_42,BS_42_6_AC.pickle,26,0.9374356623269546
262,BS_42,BS_42_6_AC.pickle,36,0.9772166496068282
263,BS_42,BS_42_6_AC.pickle,47,0.12557969649901926
264,BS_42,BS_42_6_AC.pickle,48,0.14866242208017272
265,BS_42,BS_42_6_AC.pickle,49,0.09579679613523372
266,BS_42,BS_42_6_AC.pickle,62,4.7928051223238e-05
267,BS_42,BS_42_6_AC.pickle,73,0.31772659172830486
268,BS_42,BS_42_8_AC.pickle,14,0.6968071555805917
269,BS_49,BS_49_12_AC.pickle,6,0.08265731893057045
270,BS_49,BS_49_12_AC.pickle,10,0.34325776962069643
271,BS_49,BS_49_12_AC.pickle,13,0.9684842410927048
272,BS_49,BS_49_12_AC.pickle,22,0.48543414352068137
273,BS_49,BS_49_12_AC.pickle,39,0.6548947708235602
274,BS_49,BS_49_14_AC.pickle,12,0.0012473929883060422
275,BS_49,BS_49_14_AC.pickle,16,0.3577224624053832
276,BS_49,BS_49_16_AC.pickle,7,0.28099502313984914
277,BS_49,BS_49_16_AC.pickle,10,0.6678059061542948
278,BS_49,BS_49_16_AC.pickle,17,0.033221159122455504
279,BS_49,BS_49_1_AC.pickle,4,0.5319018766166881
280,BS_49,BS_49_1_AC.pickle,6,0.04881826343003401
281,BS_49,BS_49_1_AC.pickle,8,0.9209275736273742
282,BS_49,BS_49_1_AC.pickle,10,0.7329445805510229
283,BS_49,BS_49_1_AC.pickle,11,0.22579988639652307
284,BS_49,BS_49_1_AC.pickle,15,0.10402185404043261
285,BS_49,BS_49_1_AC.pickle,23,0.45928684839612754
286,BS_49,BS_49_1_AC.pickle,24,0.8285612422084658
287,BS_49,BS_49_1_AC.pickle,29,0.03282226905960787
288,BS_49,BS_49_1_AC.pickle,33,0.10597102903505025
289,BS_49,BS_49_1_AC.pickle,34,0.7131527775550286
290,BS_49,BS_49_1_AC.pickle,46,0.09998451450151354
291,BS_49,BS_49_1_AC.pickle,49,0.011756186582059408
292,BS_49,BS_49_1_AC.pickle,58,0.023303426071020976
293,BS_49,BS_49_1_AC.pickle,66,0.9127206338211199
294,BS_49,BS_49_1_AC.pickle,69,0.20237520560766012
295,BS_49,BS_49_1_AC.pickle,71,0.8102907195277433
296,BS_49,BS_49_1_AC.pickle,73,0.23143155022248105
297,BS_49,BS_49_1_AC.pickle,74,0.0959006940749289
298,BS_49,BS_49_1_AC.pickle,80,0.7854039455587275
299,BS_49,BS_49_1_AC.pickle,81,0.607690624722746
300,BS_49,BS_49_1_AC.pickle,82,0.5498157899916076
301,BS_49,BS_49_1_AC.pickle,96,0.588401944874961
302,BS_49,BS_49_1_AC.pickle,97,0.3752672213765986
303,BS_49,BS_49_1_AC.pickle,108,0.15857031468454216
304,BS_49,BS_49_1_AC.pickle,111,0.8635598023482665
305,BS_49,BS_49_1_AC.pickle,112,0.49734253403393236
306,BS_49,BS_49_1_AC.pickle,113,0.19385335160131917
307,BS_49,BS_49_1_AC.pickle,118,0.7566853846275279
308,BS_49,BS_49_1_AC.pickle,124,0.33483134373849444
309,BS_49,BS_49_1_AC.pickle,129,0.10206322272955459
310,BS_49,BS_49_1_AC.pickle,132,0.13011655458770668
311,BS_49,BS_49_1_AC.pickle,133,0.40127615769978586
312,BS_49,BS_49_1_AC.pickle,143,0.021964267916382958
313,BS_49,BS_49_1_AC.pickle,146,0.9241093334652727
314,BS_49,BS_49_1_AC.pickle,150,0.4746460417317936
315,BS_49,BS_49_1_AC.pickle,152,0.9669354183140431
316,BS_49,BS_49_1_AC.pickle,157,0.0008023965886522676
317,BS_49,BS_49_1_AC.pickle,161,0.2286786240659813
318,BS_49,BS_49_1_AC.pickle,162,0.03475489505135652
319,BS_49,BS_49_1_AC.pickle,169,0.015704961618088917
320,BS_49,BS_49_1_AC.pickle,178,0.017846915447102894
321,BS_49,BS_49_2_AC.pickle,4,0.5443963802500902
322,BS_49,BS_49_2_AC.pickle,6,0.6974997916153789
323,BS_49,BS_49_2_AC.pickle,11,0.7133852250243844
324,BS_49,BS_49_2_AC.pickle,12,0.12935302950184058
325,BS_49,BS_49_2_AC.pickle,16,0.013017500308462606
326,BS_49,BS_49_2_AC.pickle,17,0.8459442287142878
327,BS_49,BS_49_2_AC.pickle,20,0.4328107124339178
328,BS_49,BS_49_2_AC.pickle,31,0.9802923015653169
329,BS_49,BS_49_2_AC.pickle,39,0.2615649707584927
330,BS_49,BS_49_2_AC.pickle,42,0.678338944553309
331,BS_49,BS_49_2_AC.pickle,47,0.420043832608326
332,BS_49,BS_49_2_AC.pickle,58,0.9489874029462142
333,BS_49,BS_49_2_AC.pickle,64,0.747777296917892
334,BS_49,BS_49_2_AC.pickle,66,0.4033710617222117
335,BS_49,BS_49_2_AC.pickle,78,0.9021408194732135
336,BS_49,BS_49_2_AC.pickle,86,0.06224430175245083
337,BS_49,BS_49_2_AC.pickle,90,0.6728774107386999
338,BS_49,BS_49_2_AC.pickle,102,0.5401290552671709
339,BS_49,BS_49_2_AC.pickle,110,0.5343059265717433
340,BS_49,BS_49_2_AC.pickle,111,0.09406852294724107
341,BS_49,BS_49_2_AC.pickle,122,0.7829588172420265
342,BS_49,BS_49_2_AC.pickle,128,0.5058892475082195
343,BS_49,BS_49_4_AC.pickle,9,0.15043804296624785
344,BS_49,BS_49_4_AC.pickle,11,0.794343239758786
345,BS_49,BS_49_4_AC.pickle,14,0.569524732944746
346,BS_49,BS_49_4_AC.pickle,16,0.6663457630619238
347,BS_49,BS_49_4_AC.pickle,20,0.40914701898031847
348,BS_49,BS_49_4_AC.pickle,25,0.0013444585586152807
349,BS_49,BS_49_4_AC.pickle,27,0.43910964377294615
350,BS_49,BS_49_4_AC.pickle,29,0.4596016895669248
351,BS_49,BS_49_4_AC.pickle,35,0.0015961861375289395
352,BS_49,BS_49_4_AC.pickle,39,0.33152062331778054
353,BS_49,BS_49_4_AC.pickle,45,0.4566294876090885
354,BS_49,BS_49_4_AC.pickle,46,0.9836616624935324
355,BS_49,BS_49_4_AC.pickle,53,0.6099698961814204
356,BS_49,BS_49_4_AC.pickle,54,0.035346784411380935
357,BS_49,BS_49_4_AC.pickle,55,0.42427157100306656
358,BS_49,BS_49_4_AC.pickle,56,0.45440509964427855
359,BS_49,BS_49_4_AC.pickle,58,0.08918127590033785
360,BS_49,BS_49_4_AC.pickle,68,0.46327765966955625
361,BS_49,BS_49_5_AC.pickle,9,0.6199628868377499
362,BS_49,BS_49_5_AC.pickle,14,0.39439253729432
363,BS_49,BS_49_5_AC.pickle,18,0.30079266305593877
364,BS_49,BS_49_6_AC.pickle,0,0.41701455547250443
365,BS_49,BS_49_6_AC.pickle,4,0.2980698906606088
366,BS_49,BS_49_9_AC.pickle,15,0.4300865072983284
367,BS_49,BS_49_9_AC.pickle,18,0.0035367448541879596
368,BS_49,BS_49_9_AC.pickle,27,0.1309080133199905
369,BS_49,BS_49_9_AC.pickle,33,0.8867350409432001
370,BS_49,BS_49_9_AC.pickle,45,0.6511016584134266
371,BS_49,BS_49_9_AC.pickle,61,0.42944639916219873
372,BS_50,BS_50_2_AC.pickle,2,0.6313758711321513
373,BS_50,BS_50_2_AC.pickle,6,0.46775729321055404
374,BS_50,BS_50_2_AC.pickle,10,0.6113051576558501
375,BS_50,BS_50_2_AC.pickle,14,0.46859234210231815
376,BS_50,BS_50_2_AC.pickle,19,0.08470009465703769
377,BS_50,BS_50_2_AC.pickle,23,0.001596253742597722
378,BS_50,BS_50_2_AC.pickle,35,0.32471836323200287
379,BS_50,BS_50_2_AC.pickle,43,0.3456838962410411
380,BS_50,BS_50_2_AC.pickle,47,0.1963664895358535
381,BS_50,BS_50_2_AC.pickle,74,0.8299891615632824
382,BS_50,BS_50_2_AC.pickle,79,0.3471622355281643
383,BS_50,BS_50_2_AC.pickle,81,0.9272888238593392
384,BS_50,BS_50_2_AC.pickle,88,0.5615394688149719
385,BS_50,BS_50_2_AC.pickle,91,0.2062643883179492
386,BS_50,BS_50_2_AC.pickle,95,0.7163297184845734
387,BS_50,BS_50_3_AC.pickle,0,0.18873222954190688
388,BS_50,BS_50_3_AC.pickle,3,0.023556002425297366
389,BS_50,BS_50_3_AC.pickle,6,0.18641548753669918
390,BS_50,BS_50_3_AC.pickle,11,0.00922873856070651
391,BS_50,BS_50_3_AC.pickle,16,0.9758323900133941
392,BS_50,BS_50_3_AC.pickle,21,0.31889019178878186
393,BS_50,BS_50_3_AC.pickle,28,0.78071767782436
