,animal,session relative to reversal,d'
146,BS_59,-2,1.6452461624782282
147,BS_59,-1,2.294118135557619
148,BS_59,0,-0.8976492831018976
149,BS_59,1,-0.20880528508234764
150,BS_59,2,0.03228668321033923
151,BS_59,3,0.36903883331779497
152,BS_59,4,1.1775741142033762
153,BS_59,5,1.528516813128906
154,BS_59,6,2.051026314620989
155,BS_59,7,1.501085946044025
156,BS_59,8,2.9148852681514192
157,BS_59,9,2.6836744715654515
158,BS_59,10,2.2977272186317887
159,BS_59,11,1.8922878731011656
160,BS_67,-6,0.22333219217632827
161,BS_67,-5,0.1170719964133009
162,BS_67,-4,0.5009665918390012
163,BS_67,-3,2.0509075960345924
164,BS_67,-2,1.6588212271034135
165,BS_67,-1,1.617051296710085
166,BS_67,0,-1.4796865159553874
167,BS_67,1,-0.6722747587155751
168,BS_67,2,-0.41145554175316457
169,BS_67,3,0.055133625941947706
170,BS_67,4,0.2700088196943302
171,BS_67,5,0.4402332496251775
172,BS_67,6,2.105463373066448
173,BS_67,7,1.7346922207139857
174,BS_70,-7,-0.22602723763734822
175,BS_70,-6,0.01606811079704462
176,BS_70,-5,-0.20800804601429634
177,BS_70,-4,0.49016044459348773
178,BS_70,-3,1.286041054075907
179,BS_70,-2,2.3268289119347836
180,BS_70,-1,2.449620986870663
181,BS_70,0,-0.9839187899710123
182,BS_70,1,-0.25886575245887
183,BS_70,2,-0.18376030833861862
184,BS_70,3,-0.10315011012440523
185,BS_70,4,0.09575279982658585
186,BS_70,5,0.28730822973746173
187,BS_70,6,0.8014299799559688
188,BS_70,7,0.2201988638559589
189,BS_70,8,0.6127479300867666
190,BS_70,9,0.737118559641412
191,BS_70,10,1.9457918755241324
192,BS_72,-5,-0.024339982848792352
193,BS_72,-4,0.29368628205223546
194,BS_72,-3,1.7410361356743862
195,BS_72,-2,2.1374262882264707
196,BS_72,-1,2.9404735847839643
197,BS_72,0,-1.3013431376608926
198,BS_72,1,-0.21241968256205068
199,BS_72,2,0.07382095131912592
200,BS_72,3,0.42205212173061946
201,BS_72,4,0.26361124105019274
202,BS_72,5,0.2693777626341738
203,BS_72,6,0.45895195522268917
204,BS_72,7,0.6937489069064202
205,BS_72,8,0.5461864385491482
206,BS_72,9,0.5680108990342239
207,BS_72,10,0.16376590719221185
208,BS_72,11,0.3170188153250669
209,BS_72,12,0.3260707355517728
210,BS_72,13,1.5237170453601
211,BS_72,14,2.6373063302622146
212,BS_87,-5,0.06326054917403019
213,BS_87,-4,0.664788259869667
214,BS_87,-3,0.7232491452796587
215,BS_87,-2,1.7420602740742228
216,BS_87,-1,1.8554465409035565
217,BS_87,0,-0.587304014002989
218,BS_87,1,-0.2688785389488046
219,BS_87,2,-0.23360434858779888
220,BS_87,3,-0.1359846707931241
221,BS_87,4,0.030329879323179876
222,BS_87,5,0.5812483535028989
223,BS_87,6,0.5281164855098135
224,BS_87,7,2.371705981878082
225,BS_87,8,1.328952480899487
226,BS_108,-6,0.10547308215092022
227,BS_108,-5,0.01063494689106037
228,BS_108,-4,0.42674175836952055
229,BS_108,-3,1.181953692631149
230,BS_108,-2,2.038787934535881
231,BS_108,-1,2.3021224582507482
232,BS_108,0,-1.0224656121109117
233,BS_108,1,-0.5908489320558843
234,BS_108,2,-0.08570874186579064
235,BS_108,3,-0.22906478311918455
236,BS_108,4,0.259121000413015
237,BS_108,5,0.5144199671422629
238,BS_108,6,0.19019088158129294
239,BS_108,7,0.4451895207845096
240,BS_108,8,0.8541608996556471
241,BS_108,9,1.6278511220764345
242,BS_108,10,2.6614628334995087
243,DS_15,-11,0.08613846028136231
244,DS_15,-10,-0.0020303447725471546
245,DS_15,-9,0.10257312214791975
246,DS_15,-8,0.01244587775733963
247,DS_15,-7,0.16617683199513594
248,DS_15,-6,0.28065596287853234
249,DS_15,-5,0.6777939264458546
250,DS_15,-4,1.1182332650681044
251,DS_15,-3,0.8910589144638188
252,DS_15,-2,1.648949049855882
253,DS_15,-1,1.4369018399571327
254,DS_15,0,-0.15986387911078048
255,DS_15,1,-0.04390183169236095
256,DS_15,2,-0.09667806877961382
257,DS_15,3,-0.21439900398890355
258,DS_15,4,-0.026200747719400397
259,DS_15,5,-0.11334568825770186
260,DS_15,6,0.025749204217913046
261,DS_15,7,0.09800044198451319
262,DS_15,8,0.20693789115012773
263,DS_15,9,0.5965985345614991
264,DS_15,10,1.6321144772022207
265,DS_15,11,1.3823105528059252
266,DS_15,12,1.6488827582975412
267,DS_15,13,1.4262253182534554
268,DS_15,14,1.8042555537776792
269,DS_15,15,2.0975436330726165
270,DS_15,17,2.271822462753918
271,DS_19,-11,-0.16578111886071578
272,DS_19,-10,0.1517062911163669
273,DS_19,-9,0.5291550021740763
274,DS_19,-8,1.9485536397289938
275,DS_19,-7,1.6992393827088499
276,DS_19,-6,1.4045273307543857
277,DS_19,-5,2.1350472199712858
278,DS_19,-4,1.6685394103360185
279,DS_19,-3,1.2124743534898434
280,DS_19,-2,1.4131837295626521
281,DS_19,-1,1.151204213958647
282,DS_19,0,-0.6835115026818707
283,DS_19,1,-0.1832368270650454
284,DS_19,2,-0.12367373690698336
285,DS_19,3,-0.08483056825371127
286,DS_19,4,0.01520004393092994
287,DS_19,5,-0.06826717368974339
288,DS_19,6,0.05689731577531486
289,DS_19,7,0.24704235516008047
290,DS_19,8,0.26028946825628135
291,DS_19,9,0.26275998151439584
292,DS_19,10,0.6392306268247556
293,DS_19,11,1.699550417074182
294,DS_19,12,1.7057195801198954
295,DS_19,13,2.3011932259254215
296,DS_19,14,2.471584185968011
297,DS_19,15,2.393608961625269
298,DS_19,16,2.9033035788647017
299,DS_19,17,2.4261257216669847
300,DS_19,18,2.535662396959543
