,animal,session,cluster ID,phase,condition,FR modulation,Choice modulation
208,BS_40,BS_40_4_AC.pickle,15,pre late,behaving,11.140939597315437,1.2875536480686693
209,BS_40,BS_40_4_AC.pickle,18,pre late,behaving,18.91472868217054,1.1986863711001636
210,BS_40,BS_40_4_AC.pickle,29,pre late,behaving,7.160000000000004,2.2708333333333326
211,BS_40,BS_40_5_AC.pickle,5,pre late,behaving,0.7142857142857155,1.9674185463659148
212,BS_40,BS_40_5_AC.pickle,21,pre late,behaving,0.3968253968253967,0.1754385964912281
213,BS_40,BS_40_5_AC.pickle,22,pre late,behaving,1.5418023887079275,0.0862068965517239
214,BS_40,BS_40_5_AC.pickle,27,pre late,behaving,15.003599712023021,2.3376623376623376
215,BS_40,BS_40_6_AC.pickle,4,pre late,behaving,0.8281573498964798,0.9367396593673962
216,BS_40,BS_40_6_AC.pickle,7,pre late,behaving,1.8697829716193657,2.8633594429939073
217,BS_40,BS_40_6_AC.pickle,10,pre late,behaving,0.4563160823594876,1.5665796344647516
218,BS_40,BS_40_6_AC.pickle,11,pre late,behaving,2.370617696160264,2.950391644908616
219,BS_40,BS_40_6_AC.pickle,15,pre late,behaving,15.859766277128557,2.6283724978241945
220,BS_40,BS_40_6_AC.pickle,21,pre late,behaving,3.154362416107376,1.3157894736842104
221,BS_40,BS_40_6_AC.pickle,24,pre late,behaving,7.490261547022819,2.7154046997389027
222,BS_40,BS_40_6_AC.pickle,25,pre late,behaving,0.8242950108459874,0.5597964376590331
223,BS_40,BS_40_6_AC.pickle,26,pre late,behaving,2.1146355036171425,2.297650130548303
224,BS_40,BS_40_6_AC.pickle,27,pre late,behaving,1.8809126321647172,3.672758920800695
225,BS_40,BS_40_7_AC.pickle,23,pre late,behaving,3.988888888888883,3.1233595800524934
226,BS_40,BS_40_7_AC.pickle,33,pre late,behaving,7.566666666666662,0.9011373578302716
227,BS_40,BS_40_7_AC.pickle,36,pre late,behaving,1.602288984263233,2.4253285543608123
228,BS_40,BS_40_7_AC.pickle,85,pre late,behaving,2.9888888888888916,1.356080489938758
229,BS_40,BS_40_8_AC.pickle,6,pre late,behaving,1.6903313049357678,6.176753121998079
230,BS_40,BS_40_8_AC.pickle,25,pre late,behaving,0.6700167504187602,0.37825059101654845
231,BS_40,BS_40_8_AC.pickle,33,pre late,behaving,0.7167004732927654,0.6436119116234391
232,BS_40,BS_40_8_AC.pickle,34,pre late,behaving,0.5544286680189319,0.8645533141210373
233,BS_40,BS_40_8_AC.pickle,40,pre late,behaving,0.8160123171670507,0.8866442199775535
234,BS_40,BS_40_8_AC.pickle,44,pre late,behaving,0.9642560266001666,1.5873015873015874
235,BS_40,BS_40_8_AC.pickle,45,pre late,behaving,1.01123595505618,0.8870967741935485
236,BS_40,BS_40_8_AC.pickle,48,pre late,behaving,0.2802359882005899,0.06430868167202572
237,BS_41,BS_41_2_AC.pickle,10,post early,behaving,1.456200227531286,1.519607843137255
238,BS_41,BS_41_2_AC.pickle,23,post early,behaving,1.5532286212914481,3.4264432029795153
239,BS_41,BS_41_2_AC.pickle,52,post early,behaving,27.225130890052355,6.834264432029795
240,BS_41,BS_41_2_AC.pickle,55,post early,behaving,5.543478260869565,3.287671232876712
241,BS_41,BS_41_2_AC.pickle,70,post early,behaving,0.593368237347295,0.13035381750465552
242,BS_41,BS_41_2_AC.pickle,119,post early,behaving,1.1343804537521804,0.14897579143389186
243,BS_41,BS_41_2_AC.pickle,155,post early,behaving,2.494004796163069,0.052910052910052734
244,BS_41,BS_41_2_AC.pickle,200,post early,behaving,5.657492354740061,0.1626016260162601
245,BS_41,BS_41_2_AC.pickle,210,post early,behaving,0.9249563699825483,0.9869646182495345
246,BS_41,BS_41_2_AC.pickle,236,post early,behaving,5.222222222222222,2.624113475177305
247,BS_41,BS_41_4_AC.pickle,0,post late,behaving,1.6921508664627924,0.15673981191222544
248,BS_41,BS_41_4_AC.pickle,6,post late,behaving,6.8956743002544485,5.334928229665073
249,BS_41,BS_41_4_AC.pickle,8,post late,behaving,4.133333333333334,1.576576576576577
250,BS_41,BS_41_4_AC.pickle,10,post late,behaving,1.90871369294606,1.5336879432624115
251,BS_41,BS_41_4_AC.pickle,17,post late,behaving,1.1323155216284988,0.28708133971291877
252,BS_41,BS_41_4_AC.pickle,19,post late,behaving,14.96183206106869,6.259968102073364
253,BS_41,BS_41_4_AC.pickle,20,post late,behaving,3.1424936386768474,3.1419457735247214
254,BS_41,BS_41_4_AC.pickle,21,post late,behaving,4.8074369189907005,0.573333333333333
255,BS_41,BS_41_4_AC.pickle,38,post late,behaving,1.1195928753180684,1.4673046251993616
256,BS_41,BS_41_4_AC.pickle,55,post late,behaving,3.829516539440207,0.13556618819776678
257,BS_41,BS_41_4_AC.pickle,57,post late,behaving,12.60814249363868,8.237639553429027
258,BS_41,BS_41_4_AC.pickle,64,post late,behaving,5.343511450381697,3.5725677830940983
259,BS_41,BS_41_4_AC.pickle,66,post late,behaving,4.147582697201017,0.29505582137161096
260,BS_41,BS_41_4_AC.pickle,72,post late,behaving,2.5572519083969483,0.24720893141945816
261,BS_41,BS_41_4_AC.pickle,73,post late,behaving,5.979643765903314,2.4162679425837315
262,BS_41,BS_41_4_AC.pickle,77,post late,behaving,1.4122137404580175,0.3827751196172246
263,BS_41,BS_41_4_AC.pickle,84,post late,behaving,1.4376590330788803,0.6140350877192982
264,BS_41,BS_41_4_AC.pickle,87,post late,behaving,1.8984547461368655,0.13071895424836608
265,BS_41,BS_41_4_AC.pickle,95,post late,behaving,2.4300254452926198,1.3078149920255182
266,BS_41,BS_41_4_AC.pickle,96,post late,behaving,3.2569974554707333,0.9011164274322166
267,BS_41,BS_41_4_AC.pickle,97,post late,behaving,0.512820512820513,0.5668358714043993
268,BS_41,BS_41_4_AC.pickle,100,post late,behaving,0.9629629629629626,0.11627906976744184
269,BS_41,BS_41_4_AC.pickle,101,post late,behaving,7.137404580152674,3.604465709728867
270,BS_41,BS_41_4_AC.pickle,109,post late,behaving,3.7150127226463154,1.8580542264752795
271,BS_41,BS_41_4_AC.pickle,110,post late,behaving,3.9312977099236615,3.4529505582137165
272,BS_41,BS_41_4_AC.pickle,114,post late,behaving,0.8905852417302781,0.6220095693779903
273,BS_41,BS_41_4_AC.pickle,115,post late,behaving,6.22137404580154,0.7655502392344495
274,BS_41,BS_41_4_AC.pickle,117,post late,behaving,9.707379134860044,6.826156299840511
275,BS_41,BS_41_4_AC.pickle,119,post late,behaving,3.3842239185750564,0.7496012759170649
276,BS_41,BS_41_5_AC.pickle,2,post late,behaving,3.881188118811891,3.624272651704073
277,BS_41,BS_41_5_AC.pickle,6,post late,behaving,1.6986301369863024,0.02051282051282047
278,BS_41,BS_41_5_AC.pickle,13,post late,behaving,7.492354740061158,4.00611620795107
279,BS_41,BS_41_5_AC.pickle,15,post late,behaving,2.587064676616916,2.0398009950248754
280,BS_41,BS_41_5_AC.pickle,67,post late,behaving,1.629629629629632,0.47393364928909953
281,BS_41,BS_41_5_AC.pickle,68,post late,behaving,2.9226361031518597,0.027210884353741718
282,BS_41,BS_41_5_AC.pickle,73,post late,behaving,7.102310231023097,5.486284289276808
283,BS_41,BS_41_5_AC.pickle,74,post late,behaving,4.543524416135881,0.6581740976645427
284,BS_41,BS_41_5_AC.pickle,85,post late,behaving,1.6312056737588698,0.1675041876046897
285,BS_41,BS_41_6_AC.pickle,1,post late,behaving,3.7472035794183456,0.7003367003367001
286,BS_41,BS_41_6_AC.pickle,3,post late,behaving,12.114093959731518,0.44444444444444375
287,BS_41,BS_41_6_AC.pickle,6,post late,behaving,0.5591397849462366,0.30701754385964913
288,BS_41,BS_41_6_AC.pickle,7,post late,behaving,7.483221476510067,1.6565656565656564
289,BS_41,BS_41_6_AC.pickle,32,post late,behaving,1.4100185528756946,1.06544901065449
