,animal,session,cluster ID,learning phase,FR modulation,control decoding performance
188,BS_40,BS_40_3_AC.pickle,71,pre late,2.009132420091325,
189,BS_40,BS_40_3_AC.pickle,76,pre late,1.1886304909560725,0.49940851
190,BS_40,BS_40_3_AC.pickle,81,pre late,3.8051750380517504,0.498445339
191,BS_40,BS_40_3_AC.pickle,84,pre late,1.4611872146118712,0.507878453
192,BS_40,BS_40_3_AC.pickle,105,pre late,0.8903365906623235,0.501366989
193,BS_40,BS_40_3_AC.pickle,108,pre late,1.0350076103500765,0.499318304
194,BS_40,BS_40_3_AC.pickle,109,pre late,1.9354838709677418,0.497326233
195,BS_40,BS_40_3_AC.pickle,111,pre late,12.860360360360373,0.502106439
196,BS_40,BS_40_3_AC.pickle,114,pre late,15.34936998854525,0.499680481
197,BS_40,BS_40_3_AC.pickle,115,pre late,4.279835390946501,0.4996277
198,BS_40,BS_40_3_AC.pickle,121,pre late,12.571428571428571,
199,BS_40,BS_40_3_AC.pickle,140,pre late,0.18939393939393936,0.497994714
200,BS_40,BS_40_3_AC.pickle,145,pre late,3.432835820895522,0.503812785
201,BS_40,BS_40_3_AC.pickle,151,pre late,1.4840182648401823,0.497788955
202,BS_40,BS_40_3_AC.pickle,155,pre late,16.910197869101975,0.496476776
203,BS_40,BS_40_4_AC.pickle,0,pre late,1.3733333333333333,0.500185674
204,BS_40,BS_40_4_AC.pickle,1,pre late,1.12,0.49212405
205,BS_40,BS_40_4_AC.pickle,7,pre late,1.5600000000000005,0.493426971
206,BS_40,BS_40_4_AC.pickle,9,pre late,0.5599999999999994,0.499529412
207,BS_40,BS_40_4_AC.pickle,10,pre late,0.3733333333333331,0.498303321
208,BS_40,BS_40_4_AC.pickle,15,pre late,11.140939597315437,0.499874107
209,BS_40,BS_40_4_AC.pickle,18,pre late,18.91472868217054,0.492739401
210,BS_40,BS_40_4_AC.pickle,29,pre late,7.160000000000004,0.502487395
211,BS_40,BS_40_5_AC.pickle,5,pre late,0.7142857142857155,0.502144047
212,BS_40,BS_40_5_AC.pickle,21,pre late,0.3968253968253967,0.500846117
213,BS_40,BS_40_5_AC.pickle,22,pre late,1.5418023887079275,0.510386854
214,BS_40,BS_40_5_AC.pickle,27,pre late,15.003599712023021,0.503230987
215,BS_40,BS_40_6_AC.pickle,4,pre late,0.8281573498964798,0.506688255
216,BS_40,BS_40_6_AC.pickle,7,pre late,1.8697829716193657,0.500354187
217,BS_40,BS_40_6_AC.pickle,10,pre late,0.4563160823594876,0.496054655
218,BS_40,BS_40_6_AC.pickle,11,pre late,2.370617696160264,0.50036814
219,BS_40,BS_40_6_AC.pickle,15,pre late,15.859766277128557,0.502369601
220,BS_40,BS_40_6_AC.pickle,21,pre late,3.154362416107376,0.501477699
221,BS_40,BS_40_6_AC.pickle,24,pre late,7.490261547022819,0.498436343
222,BS_40,BS_40_6_AC.pickle,25,pre late,0.8242950108459874,0.497645639
223,BS_40,BS_40_6_AC.pickle,26,pre late,2.1146355036171425,0.500688089
224,BS_40,BS_40_6_AC.pickle,27,pre late,1.8809126321647172,0.499882847
225,BS_40,BS_40_7_AC.pickle,23,pre late,3.988888888888883,0.497354337
226,BS_40,BS_40_7_AC.pickle,33,pre late,7.566666666666662,0.499476493
227,BS_40,BS_40_7_AC.pickle,36,pre late,1.602288984263233,0.500026961
228,BS_40,BS_40_7_AC.pickle,85,pre late,2.9888888888888916,0.502339051
229,BS_40,BS_40_8_AC.pickle,6,pre late,1.6903313049357678,0.493391245
230,BS_40,BS_40_8_AC.pickle,25,pre late,0.6700167504187602,0.504159013
231,BS_40,BS_40_8_AC.pickle,33,pre late,0.7167004732927654,0.500132312
232,BS_40,BS_40_8_AC.pickle,34,pre late,0.5544286680189319,0.49827933
233,BS_40,BS_40_8_AC.pickle,40,pre late,0.8160123171670507,0.494117824
234,BS_40,BS_40_8_AC.pickle,44,pre late,0.9642560266001666,0.496824731
235,BS_40,BS_40_8_AC.pickle,45,pre late,1.01123595505618,0.493196643
236,BS_40,BS_40_8_AC.pickle,48,pre late,0.2802359882005899,0.498797552
237,BS_41,BS_41_2_AC.pickle,10,post early,1.456200227531286,0.501848478
238,BS_41,BS_41_2_AC.pickle,23,post early,1.5532286212914481,0.498922815
239,BS_41,BS_41_2_AC.pickle,52,post early,27.225130890052355,0.501753526
240,BS_41,BS_41_2_AC.pickle,55,post early,5.543478260869565,0.50360413
241,BS_41,BS_41_2_AC.pickle,70,post early,0.593368237347295,0.497212962
242,BS_41,BS_41_2_AC.pickle,119,post early,1.1343804537521804,0.496446921
243,BS_41,BS_41_2_AC.pickle,155,post early,2.494004796163069,0.505691407
244,BS_41,BS_41_2_AC.pickle,200,post early,5.657492354740061,0.495998226
245,BS_41,BS_41_2_AC.pickle,210,post early,0.9249563699825483,0.496504632
246,BS_41,BS_41_2_AC.pickle,236,post early,5.222222222222222,0.505505051
247,BS_41,BS_41_4_AC.pickle,0,post late,1.6921508664627924,0.497340986
248,BS_41,BS_41_4_AC.pickle,6,post late,6.8956743002544485,0.50109119
249,BS_41,BS_41_4_AC.pickle,8,post late,4.133333333333334,0.484644381
250,BS_41,BS_41_4_AC.pickle,10,post late,1.90871369294606,0.504102905
251,BS_41,BS_41_4_AC.pickle,17,post late,1.1323155216284988,0.500985751
252,BS_41,BS_41_4_AC.pickle,19,post late,14.96183206106869,0.498055691
253,BS_41,BS_41_4_AC.pickle,20,post late,3.1424936386768474,0.500327117
254,BS_41,BS_41_4_AC.pickle,21,post late,4.8074369189907005,0.501185923
255,BS_41,BS_41_4_AC.pickle,38,post late,1.1195928753180684,0.501166517
256,BS_41,BS_41_4_AC.pickle,55,post late,3.829516539440207,0.495761031
257,BS_41,BS_41_4_AC.pickle,57,post late,12.60814249363868,0.498409445
258,BS_41,BS_41_4_AC.pickle,64,post late,5.343511450381697,0.501836934
