,animal,session,cluster ID,FR modulation,depth
304,BS_41,BS_41_7_AC.pickle,81,0.5865522174535049,0.5325
305,BS_41,BS_41_7_AC.pickle,96,0.9273182957393497,0.5325
306,BS_41,BS_41_8_AC.pickle,13,3.138173302107734,-0.055
307,BS_41,BS_41_8_AC.pickle,15,2.022653721682849,-0.03
308,BS_41,BS_41_8_AC.pickle,16,1.4266666666666656,-0.03
309,BS_41,BS_41_8_AC.pickle,17,1.6444444444444446,-0.005
310,BS_41,BS_41_8_AC.pickle,25,2.512280701754389,0.145
311,BS_41,BS_41_8_AC.pickle,40,2.099999999999997,0.395
312,BS_41,BS_41_8_AC.pickle,49,0.8936550491510256,-0.0425
313,BS_41,BS_41_8_AC.pickle,57,2.8771929824561395,-0.055
314,BS_41,BS_41_8_AC.pickle,58,1.616161616161617,-0.005
315,BS_41,BS_41_8_AC.pickle,59,6.636225266362248,-0.005
316,BS_41,BS_41_8_AC.pickle,60,11.086142322097386,0.245
317,BS_41,BS_41_8_AC.pickle,61,10.087719298245611,0.145
318,BS_41,BS_41_8_AC.pickle,66,0.720000000000001,0.3575
319,BS_41,BS_41_8_AC.pickle,67,1.5677321156773214,0.3575
320,BS_41,BS_41_8_AC.pickle,69,0.9156626506024096,-0.0675
321,BS_41,BS_41_8_AC.pickle,72,1.6720257234726674,0.3825
322,BS_41,BS_41_8_AC.pickle,77,7.253333333333332,0.445
323,BS_41,BS_41_8_AC.pickle,79,24.862155388471184,0.07
324,BS_41,BS_41_8_AC.pickle,82,4.712371946414507,0.395
325,BS_41,BS_41_8_AC.pickle,89,9.160671462829736,0.345
326,BS_41,BS_41_9_AC.pickle,3,9.467162329615856,0.9875
327,BS_41,BS_41_9_AC.pickle,23,1.3821138211382107,0.9625
328,BS_41,BS_41_9_AC.pickle,24,2.9457364341085293,0.9625
329,BS_41,BS_41_9_AC.pickle,37,20.890493381468115,0.475
330,BS_41,BS_41_9_AC.pickle,70,1.3166666666666673,0.7
331,BS_41,BS_41_9_AC.pickle,75,0.6666666666666643,0.675
332,BS_41,BS_41_9_AC.pickle,78,0.6333333333333333,0.6625
333,BS_41,BS_41_9_AC.pickle,80,25.0333333333333,0.6375
334,BS_41,BS_41_9_AC.pickle,101,1.4555555555555566,0.9625
335,BS_41,BS_41_9_AC.pickle,102,0.9186840471756689,0.9875
336,BS_41,BS_41_9_AC.pickle,103,0.3941730934018849,0.55
337,BS_41,BS_41_9_AC.pickle,109,3.5777777777777753,0.875
338,BS_41,BS_41_9_AC.pickle,125,0.49319727891156456,0.9375
339,BS_42,BS_42_10_AC.pickle,3,2.4736048265460027,1.0575
340,BS_42,BS_42_10_AC.pickle,8,4.253393665158373,0.67
