,animal,session,cluster ID,learning phase,FR modulation,Choice modulation
227,BS_40,BS_40_7_AC.pickle,36,pre late,1.602288984263233,1.7739628040057225
228,BS_40,BS_40_7_AC.pickle,85,pre late,2.9888888888888916,0.7055555555555558
229,BS_40,BS_40_8_AC.pickle,6,pre late,1.6903313049357678,4.2461122379986485
230,BS_40,BS_40_8_AC.pickle,25,pre late,0.6700167504187602,0.4690117252931322
231,BS_40,BS_40_8_AC.pickle,33,pre late,0.7167004732927654,0.6355645706558486
232,BS_40,BS_40_8_AC.pickle,34,pre late,0.5544286680189319,0.473292765382015
233,BS_40,BS_40_8_AC.pickle,40,pre late,0.8160123171670507,0.7313317936874519
234,BS_40,BS_40_8_AC.pickle,44,pre late,0.9642560266001666,0.9642560266001664
235,BS_40,BS_40_8_AC.pickle,45,pre late,1.01123595505618,0.4494382022471911
236,BS_40,BS_40_8_AC.pickle,48,pre late,0.2802359882005899,0.14011799410029507
237,BS_41,BS_41_2_AC.pickle,10,post early,1.456200227531286,0.5346985210466443
238,BS_41,BS_41_2_AC.pickle,23,post early,1.5532286212914481,1.7626527050610818
239,BS_41,BS_41_2_AC.pickle,52,post early,27.225130890052355,1.8062827225130886
240,BS_41,BS_41_2_AC.pickle,55,post early,5.543478260869565,1.9021739130434783
241,BS_41,BS_41_2_AC.pickle,70,post early,0.593368237347295,0.11343804537521822
242,BS_41,BS_41_2_AC.pickle,119,post early,1.1343804537521804,0.401396160558464
243,BS_41,BS_41_2_AC.pickle,155,post early,2.494004796163069,0.40767386091127084
244,BS_41,BS_41_2_AC.pickle,200,post early,5.657492354740061,0.01529051987767582
245,BS_41,BS_41_2_AC.pickle,210,post early,0.9249563699825483,0.32286212914485174
246,BS_41,BS_41_2_AC.pickle,236,post early,5.222222222222222,1.9722222222222219
247,BS_41,BS_41_4_AC.pickle,0,post late,1.6921508664627924,0.14271151885830766
248,BS_41,BS_41_4_AC.pickle,6,post late,6.8956743002544485,4.300254452926209
249,BS_41,BS_41_4_AC.pickle,8,post late,4.133333333333334,1.6000000000000003
250,BS_41,BS_41_4_AC.pickle,10,post late,1.90871369294606,1.3070539419087135
251,BS_41,BS_41_4_AC.pickle,17,post late,1.1323155216284988,0.21628498727735382
252,BS_41,BS_41_4_AC.pickle,19,post late,14.96183206106869,5.17175572519084
253,BS_41,BS_41_4_AC.pickle,20,post late,3.1424936386768474,2.4872773536895667
254,BS_41,BS_41_4_AC.pickle,21,post late,4.8074369189907005,0.584329349269588
255,BS_41,BS_41_4_AC.pickle,38,post late,1.1195928753180684,1.3867684478371498
256,BS_41,BS_41_4_AC.pickle,55,post late,3.829516539440207,0.12086513994910911
257,BS_41,BS_41_4_AC.pickle,57,post late,12.60814249363868,6.310432569974554
258,BS_41,BS_41_4_AC.pickle,64,post late,5.343511450381697,2.709923664122137
259,BS_41,BS_41_4_AC.pickle,66,post late,4.147582697201017,0.06997455470737941
260,BS_41,BS_41_4_AC.pickle,72,post late,2.5572519083969483,0.6870229007633593
261,BS_41,BS_41_4_AC.pickle,73,post late,5.979643765903314,1.914758269720101
262,BS_41,BS_41_4_AC.pickle,77,post late,1.4122137404580175,0.3816793893129769
263,BS_41,BS_41_4_AC.pickle,84,post late,1.4376590330788803,0.540712468193384
264,BS_41,BS_41_4_AC.pickle,87,post late,1.8984547461368655,0.022075055187638103
265,BS_41,BS_41_4_AC.pickle,95,post late,2.4300254452926198,0.9796437659033077
266,BS_41,BS_41_4_AC.pickle,96,post late,3.2569974554707333,0.5279898218829515
267,BS_41,BS_41_4_AC.pickle,97,post late,0.512820512820513,0.4887820512820512
268,BS_41,BS_41_4_AC.pickle,100,post late,0.9629629629629626,0.16296296296296295
269,BS_41,BS_41_4_AC.pickle,101,post late,7.137404580152674,3.51145038167939
270,BS_41,BS_41_4_AC.pickle,109,post late,3.7150127226463154,1.1195928753180666
271,BS_41,BS_41_4_AC.pickle,110,post late,3.9312977099236615,2.767175572519084
272,BS_41,BS_41_4_AC.pickle,114,post late,0.8905852417302781,0.5279898218829516
273,BS_41,BS_41_4_AC.pickle,115,post late,6.22137404580154,0.5916030534351143
274,BS_41,BS_41_4_AC.pickle,117,post late,9.707379134860044,5.5089058524173025
275,BS_41,BS_41_4_AC.pickle,119,post late,3.3842239185750564,0.36895674300254405
276,BS_41,BS_41_5_AC.pickle,2,post late,3.881188118811891,3.0297029702970297
277,BS_41,BS_41_5_AC.pickle,6,post late,1.6986301369863024,0.02739726027397269
278,BS_41,BS_41_5_AC.pickle,13,post late,7.492354740061158,4.00611620795107
279,BS_41,BS_41_5_AC.pickle,15,post late,2.587064676616916,2.0398009950248754
280,BS_41,BS_41_5_AC.pickle,67,post late,1.629629629629632,0.2645502645502644
281,BS_41,BS_41_5_AC.pickle,68,post late,2.9226361031518597,0.2292263610315183
282,BS_41,BS_41_5_AC.pickle,73,post late,7.102310231023097,4.44884488448845
283,BS_41,BS_41_5_AC.pickle,74,post late,4.543524416135881,0.6581740976645427
284,BS_41,BS_41_5_AC.pickle,85,post late,1.6312056737588698,0.2269503546099288
285,BS_41,BS_41_6_AC.pickle,1,post late,3.7472035794183456,0.5760626398210289
286,BS_41,BS_41_6_AC.pickle,3,post late,12.114093959731518,0.23489932885906079
287,BS_41,BS_41_6_AC.pickle,6,post late,0.5591397849462366,0.3010752688172043
288,BS_41,BS_41_6_AC.pickle,7,post late,7.483221476510067,1.4093959731543622
289,BS_41,BS_41_6_AC.pickle,32,post late,1.4100185528756946,0.9276437847866421
290,BS_41,BS_41_7_AC.pickle,0,post late,2.011494252873561,1.4252873563218385
291,BS_41,BS_41_7_AC.pickle,24,post late,5.755919854280489,0.4918032786885251
292,BS_41,BS_41_7_AC.pickle,36,post late,5.101906640368181,1.2360289283366201
293,BS_41,BS_41_7_AC.pickle,39,post late,1.0644257703081232,0.22408963585434183
294,BS_41,BS_41_7_AC.pickle,50,post late,1.3308913308913324,1.111111111111111
295,BS_41,BS_41_7_AC.pickle,54,post late,3.1724137931034457,0.293103448275862
296,BS_41,BS_41_7_AC.pickle,55,post late,1.3218390804597726,0.718390804597701
297,BS_41,BS_41_7_AC.pickle,57,post late,1.1839080459770113,0.3908045977011496
298,BS_41,BS_41_7_AC.pickle,59,post late,10.240295748613654,1.1090573012938998
299,BS_41,BS_41_7_AC.pickle,62,post late,3.238993710691824,2.224842767295598
300,BS_41,BS_41_7_AC.pickle,63,post late,1.6781609195402274,0.6436781609195403
301,BS_41,BS_41_7_AC.pickle,64,post late,3.9080459770115,1.3908045977011492
302,BS_41,BS_41_7_AC.pickle,73,post late,0.6226271829916474,0.09870918754745639
303,BS_41,BS_41_7_AC.pickle,76,post late,0.39447731755424054,0.039447731755424084
304,BS_41,BS_41_7_AC.pickle,81,post late,0.5865522174535049,0.13590844062947077
305,BS_41,BS_41_7_AC.pickle,96,post late,0.9273182957393497,0.2130325814536342
306,BS_41,BS_41_8_AC.pickle,13,post late,3.138173302107734,0.8196721311475413
307,BS_41,BS_41_8_AC.pickle,15,post late,2.022653721682849,1.6100323624595465
308,BS_41,BS_41_8_AC.pickle,16,post late,1.4266666666666656,0.20666666666666703
309,BS_41,BS_41_8_AC.pickle,17,post late,1.6444444444444446,0.3777777777777777
310,BS_41,BS_41_8_AC.pickle,25,post late,2.512280701754389,0.11228070175438584
311,BS_41,BS_41_8_AC.pickle,40,post late,2.099999999999997,0.40000000000000013
312,BS_41,BS_41_8_AC.pickle,49,post late,0.8936550491510256,0.008936550491510188
313,BS_41,BS_41_8_AC.pickle,57,post late,2.8771929824561395,0.35087719298245595
314,BS_41,BS_41_8_AC.pickle,58,post late,1.616161616161617,1.3406795224977042
315,BS_41,BS_41_8_AC.pickle,59,post late,6.636225266362248,0.2130898021308974
