,animal,session,cluster ID,FR modulation,category
191,BS_40,BS_40_3_AC.pickle,84,1.4611872146118712,NCR
192,BS_40,BS_40_3_AC.pickle,105,0.8903365906623235,NCR
193,BS_40,BS_40_3_AC.pickle,108,1.0350076103500765,Inconclusive
194,BS_40,BS_40_3_AC.pickle,109,1.9354838709677418,Inconclusive
195,BS_40,BS_40_3_AC.pickle,111,12.860360360360373,CR (enhanced)
196,BS_40,BS_40_3_AC.pickle,114,15.34936998854525,CR (enhanced)
197,BS_40,BS_40_3_AC.pickle,115,4.279835390946501,Inconclusive
198,BS_40,BS_40_3_AC.pickle,121,12.571428571428571,CR (enhanced)
199,BS_40,BS_40_3_AC.pickle,140,0.18939393939393936,NCR
200,BS_40,BS_40_3_AC.pickle,145,3.432835820895522,CR (enhanced)
201,BS_40,BS_40_3_AC.pickle,151,1.4840182648401823,NCR
202,BS_40,BS_40_3_AC.pickle,155,16.910197869101975,CR (enhanced)
203,BS_40,BS_40_4_AC.pickle,0,1.3733333333333333,Inconclusive
204,BS_40,BS_40_4_AC.pickle,1,1.12,Inconclusive
205,BS_40,BS_40_4_AC.pickle,7,1.5600000000000005,Inconclusive
206,BS_40,BS_40_4_AC.pickle,9,0.5599999999999994,NCR
207,BS_40,BS_40_4_AC.pickle,10,0.3733333333333331,NCR
208,BS_40,BS_40_4_AC.pickle,15,11.140939597315437,CR (enhanced)
209,BS_40,BS_40_4_AC.pickle,18,18.91472868217054,CR (enhanced)
210,BS_40,BS_40_4_AC.pickle,29,7.160000000000004,CR (enhanced)
211,BS_40,BS_40_5_AC.pickle,5,0.7142857142857155,Inconclusive
212,BS_40,BS_40_5_AC.pickle,21,0.3968253968253967,NCR
213,BS_40,BS_40_5_AC.pickle,22,1.5418023887079275,Inconclusive
214,BS_40,BS_40_5_AC.pickle,27,15.003599712023021,CR (enhanced)
215,BS_40,BS_40_6_AC.pickle,4,0.8281573498964798,NCR
216,BS_40,BS_40_6_AC.pickle,7,1.8697829716193657,Inconclusive
217,BS_40,BS_40_6_AC.pickle,10,0.4563160823594876,NCR
218,BS_40,BS_40_6_AC.pickle,11,2.370617696160264,Inconclusive
219,BS_40,BS_40_6_AC.pickle,15,15.859766277128557,CR (enhanced)
220,BS_40,BS_40_6_AC.pickle,21,3.154362416107376,Inconclusive
221,BS_40,BS_40_6_AC.pickle,24,7.490261547022819,CR (enhanced)
222,BS_40,BS_40_6_AC.pickle,25,0.8242950108459874,NCR
223,BS_40,BS_40_6_AC.pickle,26,2.1146355036171425,NCR
224,BS_40,BS_40_6_AC.pickle,27,1.8809126321647172,Inconclusive
225,BS_40,BS_40_7_AC.pickle,23,3.988888888888883,CR (suppressed)
226,BS_40,BS_40_7_AC.pickle,33,7.566666666666662,Inconclusive
227,BS_40,BS_40_7_AC.pickle,36,1.602288984263233,Inconclusive
228,BS_40,BS_40_7_AC.pickle,85,2.9888888888888916,CR (suppressed)
229,BS_40,BS_40_8_AC.pickle,6,1.6903313049357678,Inconclusive
230,BS_40,BS_40_8_AC.pickle,25,0.6700167504187602,NCR
231,BS_40,BS_40_8_AC.pickle,33,0.7167004732927654,NCR
232,BS_40,BS_40_8_AC.pickle,34,0.5544286680189319,NCR
233,BS_40,BS_40_8_AC.pickle,40,0.8160123171670507,NCR
234,BS_40,BS_40_8_AC.pickle,44,0.9642560266001666,NCR
235,BS_40,BS_40_8_AC.pickle,45,1.01123595505618,NCR
236,BS_40,BS_40_8_AC.pickle,48,0.2802359882005899,NCR
237,BS_41,BS_41_2_AC.pickle,10,1.456200227531286,Inconclusive
238,BS_41,BS_41_2_AC.pickle,23,1.5532286212914481,Inconclusive
239,BS_41,BS_41_2_AC.pickle,52,27.225130890052355,CR (enhanced)
240,BS_41,BS_41_2_AC.pickle,55,5.543478260869565,Inconclusive
241,BS_41,BS_41_2_AC.pickle,70,0.593368237347295,NCR
242,BS_41,BS_41_2_AC.pickle,119,1.1343804537521804,NCR
243,BS_41,BS_41_2_AC.pickle,155,2.494004796163069,Inconclusive
244,BS_41,BS_41_2_AC.pickle,200,5.657492354740061,CR (enhanced)
245,BS_41,BS_41_2_AC.pickle,210,0.9249563699825483,NCR
246,BS_41,BS_41_2_AC.pickle,236,5.222222222222222,Inconclusive
247,BS_41,BS_41_4_AC.pickle,0,1.6921508664627924,NCR
248,BS_41,BS_41_4_AC.pickle,6,6.8956743002544485,CR (suppressed)
249,BS_41,BS_41_4_AC.pickle,8,4.133333333333334,Inconclusive
250,BS_41,BS_41_4_AC.pickle,10,1.90871369294606,NCR
251,BS_41,BS_41_4_AC.pickle,17,1.1323155216284988,NCR
252,BS_41,BS_41_4_AC.pickle,19,14.96183206106869,CR (enhanced)
253,BS_41,BS_41_4_AC.pickle,20,3.1424936386768474,NCR
254,BS_41,BS_41_4_AC.pickle,21,4.8074369189907005,Inconclusive
255,BS_41,BS_41_4_AC.pickle,38,1.1195928753180684,Inconclusive
