,animal,session,cluster ID,category,depth
211,BS_40,BS_40_5_AC.pickle,5,NCR,1195.0
212,BS_40,BS_40_5_AC.pickle,21,NCR,882.5
213,BS_40,BS_40_5_AC.pickle,22,NCR,845.0
214,BS_40,BS_40_5_AC.pickle,27,CR,845.0
215,BS_40,BS_40_6_AC.pickle,4,NCR,1120.0
216,BS_40,BS_40_6_AC.pickle,7,NCR,1045.0
217,BS_40,BS_40_6_AC.pickle,10,NCR,1057.5
218,BS_40,BS_40_6_AC.pickle,11,NCR,1007.5
219,BS_40,BS_40_6_AC.pickle,15,CR,370.0
220,BS_40,BS_40_6_AC.pickle,21,NCR,432.5
221,BS_40,BS_40_6_AC.pickle,24,CR,370.0
222,BS_40,BS_40_6_AC.pickle,25,NCR,432.5
223,BS_40,BS_40_6_AC.pickle,26,NCR,395.0
224,BS_40,BS_40_6_AC.pickle,27,NCR,1007.5
225,BS_40,BS_40_7_AC.pickle,23,CR,707.5
226,BS_40,BS_40_7_AC.pickle,33,CR,720.0
227,BS_40,BS_40_7_AC.pickle,36,NCR,645.0
228,BS_40,BS_40_7_AC.pickle,85,NCR,720.0
229,BS_40,BS_40_8_AC.pickle,6,NCR,912.5
230,BS_40,BS_40_8_AC.pickle,25,NCR,950.0
231,BS_40,BS_40_8_AC.pickle,33,NCR,837.5
232,BS_40,BS_40_8_AC.pickle,34,NCR,887.5
233,BS_40,BS_40_8_AC.pickle,40,NCR,875.0
234,BS_40,BS_40_8_AC.pickle,44,NCR,587.5
235,BS_40,BS_40_8_AC.pickle,45,NCR,562.5
236,BS_40,BS_40_8_AC.pickle,48,NCR,950.0
237,BS_41,BS_41_2_AC.pickle,10,NCR,905.5
238,BS_41,BS_41_2_AC.pickle,23,NCR,518.0
239,BS_41,BS_41_2_AC.pickle,52,CR,318.0
240,BS_41,BS_41_2_AC.pickle,55,CR,543.0
241,BS_41,BS_41_2_AC.pickle,70,NCR,918.0
242,BS_41,BS_41_2_AC.pickle,119,NCR,818.0
243,BS_41,BS_41_2_AC.pickle,155,NCR,480.5
244,BS_41,BS_41_2_AC.pickle,200,CR,418.0
245,BS_41,BS_41_2_AC.pickle,210,NCR,480.5
246,BS_41,BS_41_2_AC.pickle,236,CR,943.0
247,BS_41,BS_41_4_AC.pickle,0,NCR,632.5
248,BS_41,BS_41_4_AC.pickle,6,CR,770.0
249,BS_41,BS_41_4_AC.pickle,8,CR,782.5
250,BS_41,BS_41_4_AC.pickle,10,NCR,745.0
251,BS_41,BS_41_4_AC.pickle,17,NCR,845.0
252,BS_41,BS_41_4_AC.pickle,19,CR,820.0
253,BS_41,BS_41_4_AC.pickle,20,NCR,857.5
254,BS_41,BS_41_4_AC.pickle,21,CR,857.5
255,BS_41,BS_41_4_AC.pickle,38,NCR,420.0
256,BS_41,BS_41_4_AC.pickle,55,CR,582.5
257,BS_41,BS_41_4_AC.pickle,57,CR,682.5
258,BS_41,BS_41_4_AC.pickle,64,CR,732.5
259,BS_41,BS_41_4_AC.pickle,66,CR,532.5
260,BS_41,BS_41_4_AC.pickle,72,NCR,457.5
261,BS_41,BS_41_4_AC.pickle,73,CR,432.5
262,BS_41,BS_41_4_AC.pickle,77,NCR,382.5
263,BS_41,BS_41_4_AC.pickle,84,NCR,395.0
264,BS_41,BS_41_4_AC.pickle,87,NCR,620.0
265,BS_41,BS_41_4_AC.pickle,95,NCR,382.5
266,BS_41,BS_41_4_AC.pickle,96,NCR,482.5
267,BS_41,BS_41_4_AC.pickle,97,NCR,695.0
268,BS_41,BS_41_4_AC.pickle,100,NCR,695.0
269,BS_41,BS_41_4_AC.pickle,101,CR,895.0
270,BS_41,BS_41_4_AC.pickle,109,CR,732.5
271,BS_41,BS_41_4_AC.pickle,110,CR,882.5
272,BS_41,BS_41_4_AC.pickle,114,NCR,395.0
273,BS_41,BS_41_4_AC.pickle,115,CR,920.0
274,BS_41,BS_41_4_AC.pickle,117,CR,770.0
275,BS_41,BS_41_4_AC.pickle,119,NCR,570.0
276,BS_41,BS_41_5_AC.pickle,2,CR,874.5
277,BS_41,BS_41_5_AC.pickle,6,NCR,887.0
278,BS_41,BS_41_5_AC.pickle,13,CR,912.0
279,BS_41,BS_41_5_AC.pickle,15,NCR,837.0
280,BS_41,BS_41_5_AC.pickle,67,NCR,887.0
281,BS_41,BS_41_5_AC.pickle,68,NCR,887.0
282,BS_41,BS_41_5_AC.pickle,73,CR,837.0
283,BS_41,BS_41_5_AC.pickle,74,CR,862.0
284,BS_41,BS_41_5_AC.pickle,85,NCR,787.0
285,BS_41,BS_41_6_AC.pickle,1,CR,888.5
286,BS_41,BS_41_6_AC.pickle,3,CR,926.0
287,BS_41,BS_41_6_AC.pickle,6,NCR,938.5
288,BS_41,BS_41_6_AC.pickle,7,CR,763.5
289,BS_41,BS_41_6_AC.pickle,32,NCR,938.5
290,BS_41,BS_41_7_AC.pickle,0,NCR,1132.5
291,BS_41,BS_41_7_AC.pickle,24,CR,445.0
