,animal,session,cluster ID,learning phase,category
344,BS_87,BS_87_4_AC.pickle,187,post early,CR (enhanced)
345,BS_87,BS_87_4_AC.pickle,211,post early,CR (enhanced)
346,BS_87,BS_87_4_AC.pickle,219,post early,CR (enhanced)
347,BS_87,BS_87_5_AC.pickle,7,post early,CR (enhanced)
348,BS_87,BS_87_5_AC.pickle,11,post early,NCR
349,BS_87,BS_87_5_AC.pickle,14,post early,CR (enhanced)
350,BS_87,BS_87_5_AC.pickle,35,post early,CR (enhanced)
351,BS_87,BS_87_5_AC.pickle,37,post early,NCR
352,BS_87,BS_87_5_AC.pickle,47,post early,CR (enhanced)
353,BS_87,BS_87_5_AC.pickle,49,post early,CR (enhanced)
354,BS_87,BS_87_5_AC.pickle,83,post early,CR (enhanced)
355,BS_87,BS_87_5_AC.pickle,87,post early,CR (enhanced)
356,BS_87,BS_87_5_AC.pickle,93,post early,CR (enhanced)
357,BS_87,BS_87_5_AC.pickle,99,post early,CR (enhanced)
358,BS_87,BS_87_5_AC.pickle,101,post early,CR (enhanced)
359,BS_87,BS_87_6_AC.pickle,44,post early,CR (enhanced)
360,BS_87,BS_87_8_AC.pickle,1,post late,NCR
361,BS_87,BS_87_8_AC.pickle,2,post late,NCR
362,BS_87,BS_87_8_AC.pickle,11,post late,NCR
363,BS_87,BS_87_8_AC.pickle,45,post late,CR (enhanced)
364,BS_87,BS_87_8_AC.pickle,66,post late,NCR
365,BS_87,BS_87_9_AC.pickle,3,post late,NCR
366,BS_87,BS_87_9_AC.pickle,4,post late,NCR
367,BS_87,BS_87_9_AC.pickle,6,post late,NCR
368,BS_87,BS_87_9_AC.pickle,27,post late,NCR
369,BS_87,BS_87_9_AC.pickle,46,post late,NCR
370,BS_87,BS_87_9_AC.pickle,60,post late,NCR
371,BS_87,BS_87_9_AC.pickle,87,post late,NCR
372,BS_87,BS_87_9_AC.pickle,131,post late,NCR
373,BS_87,BS_87_9_AC.pickle,135,post late,NCR
374,DS_15,DS_15_14_AC.pickle,31,post expert,CR (enhanced)
375,DS_15,DS_15_14_AC.pickle,36,post expert,CR (enhanced)
376,DS_15,DS_15_14_AC.pickle,41,post expert,CR (enhanced)
377,DS_15,DS_15_14_AC.pickle,44,post expert,CR (enhanced)
378,DS_15,DS_15_14_AC.pickle,52,post expert,CR (enhanced)
379,DS_15,DS_15_14_AC.pickle,58,post expert,CR (enhanced)
380,DS_15,DS_15_14_AC.pickle,59,post expert,NCR
381,DS_15,DS_15_14_AC.pickle,65,post expert,NCR
382,DS_15,DS_15_14_AC.pickle,66,post expert,CR (enhanced)
383,DS_15,DS_15_14_AC.pickle,73,post expert,NCR
384,DS_15,DS_15_14_AC.pickle,84,post expert,NCR
385,DS_15,DS_15_14_AC.pickle,114,post expert,CR (enhanced)
386,DS_15,DS_15_14_AC.pickle,137,post expert,NCR
387,DS_15,DS_15_14_AC.pickle,146,post expert,NCR
388,DS_15,DS_15_15_AC.pickle,0,post expert,CR (enhanced)
389,DS_15,DS_15_15_AC.pickle,6,post expert,CR (enhanced)
390,DS_15,DS_15_15_AC.pickle,7,post expert,NCR
391,DS_15,DS_15_15_AC.pickle,10,post expert,NCR
392,DS_15,DS_15_15_AC.pickle,12,post expert,CR (enhanced)
393,DS_15,DS_15_15_AC.pickle,28,post expert,NCR
394,DS_15,DS_15_15_AC.pickle,29,post expert,NCR
395,DS_15,DS_15_15_AC.pickle,36,post expert,CR (suppressed)
396,DS_15,DS_15_15_AC.pickle,46,post expert,NCR
397,DS_15,DS_15_15_AC.pickle,66,post expert,CR (enhanced)
398,DS_15,DS_15_15_AC.pickle,78,post expert,CR (enhanced)
399,DS_15,DS_15_15_AC.pickle,88,post expert,NCR
400,DS_15,DS_15_15_AC.pickle,111,post expert,NCR
401,DS_15,DS_15_15_AC.pickle,113,post expert,CR (enhanced)
402,DS_15,DS_15_16_AC.pickle,17,post expert,NCR
403,DS_15,DS_15_16_AC.pickle,23,post expert,CR (enhanced)
404,DS_15,DS_15_16_AC.pickle,26,post expert,CR (enhanced)
405,DS_15,DS_15_16_AC.pickle,27,post expert,CR (enhanced)
406,DS_15,DS_15_16_AC.pickle,32,post expert,CR (suppressed)
407,DS_15,DS_15_16_AC.pickle,35,post expert,NCR
408,DS_15,DS_15_16_AC.pickle,38,post expert,NCR
409,DS_15,DS_15_16_AC.pickle,40,post expert,NCR
410,DS_15,DS_15_16_AC.pickle,48,post expert,CR (enhanced)
411,DS_15,DS_15_16_AC.pickle,68,post expert,CR (enhanced)
412,DS_15,DS_15_16_AC.pickle,69,post expert,CR (enhanced)
413,DS_15,DS_15_16_AC.pickle,72,post expert,NCR
414,DS_15,DS_15_16_AC.pickle,73,post expert,NCR
415,DS_15,DS_15_16_AC.pickle,77,post expert,CR (enhanced)
