,animal,session,cluster ID,learning phase,Stimulus decoding,Choice decoding
211,BS_40,BS_40_5_AC.pickle,5,pre late,0.492732603,0.6036716372245492
212,BS_40,BS_40_5_AC.pickle,21,pre late,0.478923224,
213,BS_40,BS_40_5_AC.pickle,22,pre late,0.464055014,0.5035388490119911
214,BS_40,BS_40_5_AC.pickle,27,pre late,0.544711227,0.4705881937105499
215,BS_40,BS_40_6_AC.pickle,4,pre late,0.50803168,0.4968237028890241
216,BS_40,BS_40_6_AC.pickle,7,pre late,0.58726705,0.5723162511227318
217,BS_40,BS_40_6_AC.pickle,10,pre late,0.549716557,0.4878590263368021
218,BS_40,BS_40_6_AC.pickle,11,pre late,0.600402645,0.5488368278667767
219,BS_40,BS_40_6_AC.pickle,15,pre late,0.637414702,0.6104398671065262
220,BS_40,BS_40_6_AC.pickle,21,pre late,0.506107226,0.5346485390579396
221,BS_40,BS_40_6_AC.pickle,24,pre late,0.521108615,0.6245068923166355
222,BS_40,BS_40_6_AC.pickle,25,pre late,0.519572411,0.5470088519618949
223,BS_40,BS_40_6_AC.pickle,26,pre late,0.542769814,0.5049956529996608
224,BS_40,BS_40_6_AC.pickle,27,pre late,0.586570341,0.6271387077186309
225,BS_40,BS_40_7_AC.pickle,23,pre late,0.55297084,0.5162779994966379
226,BS_40,BS_40_7_AC.pickle,33,pre late,0.488546876,0.5784712184949481
227,BS_40,BS_40_7_AC.pickle,36,pre late,0.584722691,
228,BS_40,BS_40_7_AC.pickle,85,pre late,0.542252337,0.59439578614317
229,BS_40,BS_40_8_AC.pickle,6,pre late,0.494407434,0.6566231069778984
230,BS_40,BS_40_8_AC.pickle,25,pre late,0.554366853,
231,BS_40,BS_40_8_AC.pickle,33,pre late,0.51425004,0.5103510544875642
232,BS_40,BS_40_8_AC.pickle,34,pre late,0.540297726,
233,BS_40,BS_40_8_AC.pickle,40,pre late,0.510503812,0.4938151689421469
234,BS_40,BS_40_8_AC.pickle,44,pre late,0.586969097,0.5206672869099267
235,BS_40,BS_40_8_AC.pickle,45,pre late,0.504880625,
236,BS_40,BS_40_8_AC.pickle,48,pre late,0.539180973,0.5658497846407197
237,BS_41,BS_41_2_AC.pickle,10,post early,0.455637379,0.5652740193925145
238,BS_41,BS_41_2_AC.pickle,23,post early,0.573167649,
239,BS_41,BS_41_2_AC.pickle,52,post early,0.607901705,0.5422944304510072
240,BS_41,BS_41_2_AC.pickle,55,post early,0.579571585,0.5626047330676026
241,BS_41,BS_41_2_AC.pickle,70,post early,0.4813782,
242,BS_41,BS_41_2_AC.pickle,119,post early,0.496412461,0.4760057529758632
243,BS_41,BS_41_2_AC.pickle,155,post early,0.604786187,
244,BS_41,BS_41_2_AC.pickle,200,post early,0.556766066,
245,BS_41,BS_41_2_AC.pickle,210,post early,0.492679231,
246,BS_41,BS_41_2_AC.pickle,236,post early,0.678737374,
247,BS_41,BS_41_4_AC.pickle,0,post late,0.45291602,
248,BS_41,BS_41_4_AC.pickle,6,post late,0.647717662,0.5272317829160778
249,BS_41,BS_41_4_AC.pickle,8,post late,0.524630156,
250,BS_41,BS_41_4_AC.pickle,10,post late,0.476106885,0.4982777667545339
251,BS_41,BS_41_4_AC.pickle,17,post late,0.504392624,0.5734071599738629
252,BS_41,BS_41_4_AC.pickle,19,post late,0.707119114,0.6369061797657851
253,BS_41,BS_41_4_AC.pickle,20,post late,0.759823542,0.6368098185376857
254,BS_41,BS_41_4_AC.pickle,21,post late,0.512086528,
255,BS_41,BS_41_4_AC.pickle,38,post late,0.550106457,0.4795905617400717
256,BS_41,BS_41_4_AC.pickle,55,post late,0.531901305,0.5746549297417091
257,BS_41,BS_41_4_AC.pickle,57,post late,0.781080525,0.4777187440260177
258,BS_41,BS_41_4_AC.pickle,64,post late,0.657729111,0.5121290999944577
259,BS_41,BS_41_4_AC.pickle,66,post late,0.561240438,0.6408944429500161
260,BS_41,BS_41_4_AC.pickle,72,post late,0.555106828,0.4984143002544663
261,BS_41,BS_41_4_AC.pickle,73,post late,0.536368132,0.6108921325624966
262,BS_41,BS_41_4_AC.pickle,77,post late,0.51377127,0.4769741072290772
263,BS_41,BS_41_4_AC.pickle,84,post late,0.560245592,0.5162693458103607
264,BS_41,BS_41_4_AC.pickle,87,post late,0.481373326,
265,BS_41,BS_41_4_AC.pickle,95,post late,0.686723299,0.5248849990952631
266,BS_41,BS_41_4_AC.pickle,96,post late,0.541280872,0.6706099096140972
267,BS_41,BS_41_4_AC.pickle,97,post late,0.747385462,
268,BS_41,BS_41_4_AC.pickle,100,post late,0.618849652,
269,BS_41,BS_41_4_AC.pickle,101,post late,0.603717124,0.539771607325054
270,BS_41,BS_41_4_AC.pickle,109,post late,0.508059407,0.5343653459298566
271,BS_41,BS_41_4_AC.pickle,110,post late,0.537925903,
272,BS_41,BS_41_4_AC.pickle,114,post late,0.5240469,
273,BS_41,BS_41_4_AC.pickle,115,post late,0.654636482,0.4819999014026763
274,BS_41,BS_41_4_AC.pickle,117,post late,0.605092675,0.4449998159735002
275,BS_41,BS_41_4_AC.pickle,119,post late,0.559577383,0.5154819180369948
276,BS_41,BS_41_5_AC.pickle,2,post late,0.529483927,0.4639774899572336
277,BS_41,BS_41_5_AC.pickle,6,post late,0.468762935,
278,BS_41,BS_41_5_AC.pickle,13,post late,0.740208138,
279,BS_41,BS_41_5_AC.pickle,15,post late,0.622301638,
280,BS_41,BS_41_5_AC.pickle,67,post late,0.556661412,
281,BS_41,BS_41_5_AC.pickle,68,post late,0.662698653,0.4608959524688998
282,BS_41,BS_41_5_AC.pickle,73,post late,0.556948624,0.5040719879693678
283,BS_41,BS_41_5_AC.pickle,74,post late,0.476799068,
284,BS_41,BS_41_5_AC.pickle,85,post late,0.503683524,0.446734232328872
285,BS_41,BS_41_6_AC.pickle,1,post late,0.500330586,0.5466355860670817
